parent_asin,price,rated,Leaf_Category,Color,Chipset Brand,Operating System,Average Battery Life (in hours),RAM_Size,RAM_Type,Storage_Size,Storage_Type,Screen_Category,Brand_Normalized,Weight_Category
B075GLP5ST,331.98,Decent,2 in 1 Laptops,,Intel,Windows 10 Pro,,3GB,DDR3,128GB,SSD,Compact,HP,Light
B075JLPLBL,618.61,Decent,2 in 1 Laptops,"Black,silver",Intel,Chrome OS,1 Hours,16GB,,512GB,SSD,Compact,Google,Light
B075JSK7TR,449.99,Decent,2 in 1 Laptops,White,Intel,Chrome OS,15 minutes,8GB,DDR3L,128GB,SSD,Compact,Google,Light
B075L9629H,207.88,Decent,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,DDR3,,HDD,Compact,Dell,Light
B075Q5FFSX,158.99,Highly,Traditional Laptops,Grey/black,Intel,Windows 10 Pro,,8GB,DDR3,512GB,SSD,Normal,Dell,Light
B075VC3CVQ,1450.86,Well,Traditional Laptops,,NVIDIA,Windows 10,,32GB,DDR4,1TB,SSD,Normal,Dell,Heavy
B075X4KK58,315.0,Highly,Traditional Laptops,Silver,Intel,Chrome OS,9 Hours,4GB,,16GB,eMMC,Compact,HP,Heavy
B07622CR6H,76.99,Highly,Traditional Laptops,,MediaTek,Chrome OS,10 Hours,4GB,DDR3,32GB,SSD,Compact,Lenovo,Light
B0764HSLXT,549.63,Well,Traditional Laptops,Platinum Silver,NVIDIA,Windows 10,,8GB,,1000GB,HDD,Huge,Dell,Heavy
B0764HW117,1229.0,Highly,Traditional Laptops,Matte Black,,Windows 10,,,,,,Normal,Dell,
B0764MYJFV,575.0,Decent,2 in 1 Laptops,Theoretical Gray,Intel,Windows 10 Home,,8GB,DDR4,1000GB,HDD,Normal,Dell,Light
B0765BKG1Y,604.89,Well,2 in 1 Laptops,Silver,Intel,Windows 10,7 Hours,8GB,DDR3,256GB,SSD,Compact,Lenovo,Light
B0768ZJHWX,859.0,Well,Traditional Laptops,Luxury Gold,Intel,Windows 10,9 Hours,8GB,DDR3,,SSD,Compact,Acer,Light
B076919RKR,899.99,Highly,Traditional Laptops,Obsidian Black,NVIDIA,Windows 10,15 Hours,8GB,DDR4,256GB,SSD,Normal,Acer,Heavy
B076BFSMPV,269.0,Decent,Traditional Laptops,Star Grey,Intel,Windows 10 S,10 Hours,4GB,DDR3,64GB,HDD,,ASUS,Light
B076BWPZC3,198.0,Highly,Traditional Laptops,Black,Intel,Chrome OS,11 Hours,4GB,DDR3,32GB,SSD,Compact,Samsung,Light
B076CCSZFN,179.96,Decent,Traditional Laptops,,Intel,Windows 10 Pro,,12GB,DDR3,240GB,SSD,Compact,Lenovo,Light
B076DKFYF9,149.98,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,8 Hours,8GB,DDR3,256GB,SSD,Compact,Dell,Light
B076DXN42V,918.98,Decent,Traditional Laptops,,NVIDIA,Windows 10,,16GB,DDR4,,,Normal,HP,Light
B076JXW7D6,699.0,Decent,Traditional Laptops,White,NVIDIA,Windows 10,,16GB,,256GB,SSD,Huge,HP,Heavy
B076N6K19D,1799.0,Decent,2 in 1 Laptops,Dark Ash,NVIDIA,Windows 10,13 Hours,16GB,DDR4,512GB,SSD,Normal,HP,Light
B076QGDQGW,186.0,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,1 Hours,16GB,DDR4,256GB,SSD,Compact,Dell,Light
B076QQRWZF,1799.0,Well,2 in 1 Laptops,,NVIDIA,Windows 10,8 Hours,16GB,,512GB,SSD,,HP,Light
B076TRP9BG,705.78,Well,2 in 1 Laptops,,Intel,Windows 10,,16GB,DDR4,512GB,SSD,Compact,Dell,Light
B076TSJ32N,199.99,Decent,Traditional Laptops,Mineral Gray,Intel,Windows 10 Home,8 Hours,2GB,,16GB,SSD,Compact,Lenovo,Light
B076V3FM6L,369.99,Well,2 in 1 Laptops,,Intel,Windows 10,,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B076V3YMRY,299.0,Decent,Traditional Laptops,Pure Silver,Intel,Windows 10,12 Hours,4GB,DDR4,32GB,SSD,Normal,Acer,Heavy
B076V6DPZN,849.95,Well,2 in 1 Laptops,,Intel,Windows 10 Home,,8GB,DDR4,256GB,SSD,Compact,Lenovo,Light
B087YVDX4L,558.0,Highly,Traditional Laptops,Natural Silver,AMD,Windows 10,,12GB,,256GB,SSD,Normal,HP,Light
B076V6QR2M,521.9,Well,Traditional Laptops,Black,Intel,Windows 10 Home,4 Hours,4GB,DDR3,500GB,HDD,Normal,ASUS,Light
B076V8M6VZ,938.65,Well,Traditional Laptops,Silver,Intel,Windows 10 Home,,8GB,DDR3,256GB,SSD,Compact,Dell,Light
B076X6T1XP,880.0,Decent,2 in 1 Laptops,Natural Silver,Intel,Windows 10,,16GB,DDR4,1256GB,SSD,Normal,HP,Heavy
B0773KZYZ3,1899.0,Decent,2 in 1 Laptops,Dark Ash Silver,Intel,Windows 10,16 Hours,16GB,DDR3,512GB,SSD,,HP,Heavy
B0773LCR2R,167.9,Decent,Traditional Laptops,,Intel,Windows 10,,8GB,DDR3,500GB,HDD,Compact,HP,Heavy
B07753PGGM,889.98,Decent,Traditional Laptops,Platinum Silver,Intel,Windows 10,,8GB,DDR4,500GB,SSD,Compact,Dell,Light
B0776G35NW,859.0,Well,Traditional Laptops,Black,NVIDIA,Windows 10,,16GB,DDR4,1TB,HDD,Normal,Dell,Heavy
B0778DVNHH,589.0,Highly,Traditional Laptops,Black,Intel,Windows 10,,8GB,DDR4,2TB,HDD,Normal,Dell,Heavy
B0778F81ZG,290.0,Highly,Traditional Laptops,Black,Allwinner,Chrome OS,11 Hours,2GB,,16GB,SSD,Compact,Samsung,Light
B0778PW5V9,799.99,Well,2 in 1 Laptops,,Intel,Windows 10 Home,,4GB,DDR3,128GB,HDD,Compact,Samsung,Light
B0778SBRD2,950.62,Well,Traditional Laptops,Platinum Silver,AMD,Windows 10 Home,,8GB,DDR4,128GB,SSD,Huge,Dell,Heavy
B07793T8LK,189.0,Decent,Traditional Laptops,Pure Silver,Intel,Chrome OS,,4GB,,32GB,SSD,Normal,Acer,Heavy
B07796ZN2Y,209.99,Well,2 in 1 Laptops,Silver,Intel,Windows 10 Home,,4GB,DDR4,,SSD,Compact,Lenovo,Light
B07797N3KL,999.0,Well,2 in 1 Laptops,Era gray,NVIDIA,Windows 10,,16GB,DDR4,2TB,HDD,Huge,Dell,Heavy
B077994XS4,638.99,Well,2 in 1 Laptops,Black,Intel,Windows 10 Home Edition,10 Hours,8GB,DDR4,,SSD,Compact,Lenovo,Light
B07799BTX7,799.0,Well,2 in 1 Laptops,Bronze,Intel,Windows 10 Home,15.5 Hours,8GB,DDR4,256GB,SSD,Compact,Lenovo,Light
B077B5CSWZ,350.0,Decent,Traditional Laptops,Gunmetal,Allwinner,Windows 10 Home,1 days,16GB,DDR4,512GB,SSD,Compact,Intel,Light
B077BNJHVJ,999.99,Decent,Traditional Laptops,Blue,NVIDIA,Windows 10,,8GB,,256GB,SSD,Compact,ASUS,Heavy
B07HLD2VQH,125.0,Highly,Traditional Laptops,,AMD,Windows 10,,4GB,DDR3,16GB,eMMC,Compact,Dell,Light
B077DH4J9R,275.0,Decent,Traditional Laptops,Obsidian Black,Intel,Windows 10,9 Hours,4GB,DDR4,32GB,SSD,Compact,Acer,Light
B077GKH4PM,234.78,Well,Traditional Laptops,,Intel,Windows 10,,4GB,DDR3,320GB,HDD,,Dell,Heavy
B077GN5H7D,669.99,Highly,Traditional Laptops,Silver,Intel,Windows 10,8 Hours,8GB,DDR4,2TB,HDD,Normal,HP,Heavy
B077HZQKJQ,598.86,Highly,Traditional Laptops,Black,Intel,Windows 10,,8GB,,1TB,HDD,Normal,HP,Light
B077K58VWS,809.99,Decent,Traditional Laptops,Dark Blue,NVIDIA,Windows 10,,8GB,DDR4,512GB,SSD,Normal,ASUS,Heavy
B077P1CBYZ,499.99,Well,Traditional Laptops,,Intel,Windows 10,8 Hours,12GB,,2TB,HDD,Normal,HP,Light
B077P1ZD2L,229.99,Well,2 in 1 Laptops,Black,Intel,Windows 10 Pro,,4GB,DDR3,32GB,SSD,Compact,Lenovo,Light
B077PM9C3Y,1299.0,Decent,2 in 1 Laptops,,NVIDIA,Windows 10 Pro,17 Hours,16GB,DDR4,256GB,SSD,Normal,Microsoft,Light
B077QGHB4L,499.99,Highly,Traditional Laptops,Silver,Intel,Windows 10,8 Hours,8GB,DDR4,2TB,HDD,Normal,HP,Heavy
B077RGJ6S7,149.0,Decent,Traditional Laptops,Mineral Gray,Intel,Windows 10,,2GB,DDR4,32GB,eMMC,Compact,Lenovo,Light
B077RNJR5N,626.84,Decent,Traditional Laptops,Black,Intel,Windows 10,6 Hours,8GB,DDR3,1TB,HDD,Huge,HP,Heavy
B077SNZ71W,790.0,Well,Traditional Laptops,,Intel,Windows 10,9 Hours,12GB,DDR4,1TB,HDD,Normal,HP,Heavy
B077SZFX3S,450.0,Well,Traditional Laptops,,Intel,Windows 10,,4GB,DDR3,1TB,HDD,Normal,Lenovo,Light
B077TCVT7Q,328.0,Highly,2 in 1 Laptops,Silver,Intel,Chrome OS,12 Hours,6GB,DDR3L,64GB,eMMC,Compact,Acer,Light
B077TFZ323,430.09,Highly,Traditional Laptops,Gray,Intel,Windows 10 Home,7.75 Hours,8GB,,1TB,HDD,Compact,HP,Heavy
B077X4881T,235.33,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,,16GB,,512GB,SSD,Compact,Dell,Light
B077XDWKLJ,249.98,Well,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,DDR3,500GB,HDD,Normal,Dell,Heavy
B077XS11LS,745.9,Highly,Traditional Laptops,Silver,Intel,Windows 10,,8GB,DDR4,1TB,HDD,Normal,Lenovo,Light
B077XX31VL,749.0,Highly,2 in 1 Laptops,grey,Intel,Windows 10,,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B077Y8GTHR,1194.0,Decent,2 in 1 Laptops,Silver,Intel,Windows 10 Pro,17 Hours,16GB,DDR4,512GB,HDD,Compact,Microsoft,Light
B077Z55KMJ,628.96,Well,Traditional Laptops,,Intel,Windows 10,"9.0, 7.0 Hours",12GB,,1TB,HDD,Normal,HP,Heavy
B0785H4MT5,268.0,Decent,Traditional Laptops,Black,Intel,Windows 10 Home,5 Hours,4GB,DDR4,1000GB,HDD,Normal,Lenovo,Heavy
B07886G46X,155.89,Decent,Traditional Laptops,Black,,Windows 10 Pro,,,,,,Normal,Lenovo,
B0788JTZFM,799.0,Well,Traditional Laptops,,NVIDIA,Windows 10,,8GB,DDR4,1TB,HDD,Normal,Acer,Heavy
B078BC1YL2,899.99,Well,Traditional Laptops,Steel Gray,AMD,Windows 10 Home,8 Hours,8GB,DDR4,256GB,SSD,Normal,Acer,Light
B078DN2PVJ,93.46,Decent,2 in 1 Laptops,Black,,Windows 10,,,,,,Compact,Lenovo,
B078FNHP5D,179.0,Highly,Traditional Laptops,,Intel,Chrome OS,12 Hours,4GB,DDR3,16GB,eMMC,Compact,HP,Light
B078H13VW7,379.0,Decent,Traditional Laptops,Silver,Intel,macOS 10.12 Sierra,10 Hours,8GB,DDR3,128GB,SSD,Compact,Apple,Light
B078JLM22J,517.65,Well,2 in 1 Laptops,Sandblasted aluminum silver,Intel,Windows 10,9 Hours,12GB,DDR4,1TB,HDD,Normal,ASUS,Heavy
B078MKCPKH,899.99,Well,Traditional Laptops,Rose Gold,Intel,Windows 10 Home,,8GB,DDR4,128GB,SSD,Compact,Dell,Light
B078NK5D6R,199.0,Decent,2 in 1 Laptops,Silver,,,,2GB,,,,Compact,Rca,Light
B078NPYG9Y,799.99,Decent,Traditional Laptops,Silver,Intel,Windows 10 Home,11 Hours,8GB,DDR3,128GB,SSD,Compact,Dell,Light
B078RPG9VS,271.26,Highly,Traditional Laptops,Silver,Intel,OS X 10.10 Yosemite,12 Hours,8GB,DDR3,256GB,SSD,Compact,Apple,Light
B078T74GKF,199.99,Decent,Traditional Laptops,,Intel,Windows 10 Home,,4GB,DDR3,,eMMC,Compact,HP,Light
B078W5CV2G,146.0,Highly,Traditional Laptops,Gray,Intel,Windows 10 Pro,17 Hours,8GB,DDR3,128GB,SSD,Compact,Lenovo,Light
B0792LZHM7,239.99,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,,16GB,,256GB,SSD,Compact,Dell,Light
B078WYC1R9,498.0,Decent,Traditional Laptops,Silver,Intel,OS X 10.9 Mavericks,8 Hours,16GB,DDR3L,256GB,SSD,Normal,Apple,Heavy
B078XT2KWN,659.99,Decent,2 in 1 Laptops,Silk Gold,AMD,Windows 10 Home,9 Hours,8GB,,1TB,HDD,Normal,HP,Light
B0791YBJGZ,89.99,Highly,2 in 1 Laptops,jet black,Intel,Chrome OS,10 Hours,4GB,DDR3L,32GB,eMMC,Compact,Acer,Light
B0792LFCB4,226.0,Highly,Traditional Laptops,White,Intel,Mac OS,,4GB,DDR3,128GB,SSD,Compact,Apple,Heavy
B0794T9KZF,529.0,Well,Traditional Laptops,Platium Grey,Intel,Windows 10,,8GB,DDR4,1TB,HDD,Huge,Lenovo,Heavy
B0795941T3,353.0,Highly,Traditional Laptops,Silver,,OS X 10.9 Mavericks,,,,,,Compact,Apple,
B0795B6DS7,390.0,Highly,Traditional Laptops,Silver,Intel,Mac OS,8 Hours,8GB,DDR3,512GB,SSD,Compact,Apple,Light
B07992JN7H,462.0,Well,Traditional Laptops,Grey,Intel,Mac OS,9 Hours,8GB,DDR3,512GB,SSD,Compact,Apple,Light
B0799981GR,725.0,Well,Traditional Laptops,Black,,Windows 10 Home,,,,,,Compact,Dell,
B079G52BDZ,759.0,Well,2 in 1 Laptops,,AMD,Windows 10,,12GB,DDR4,1TB,HDD,Normal,HP,Light
B0799HPMFT,177.59,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,7 Hours,8GB,,256GB,SSD,Compact,Dell,Light
B079C7RNFF,320.0,Decent,Traditional Laptops,Silver,Intel,Mac OS,6 Hours,8GB,DDR3L,256GB,SSD,Normal,Apple,Heavy
B079FYP9KY,499.99,Highly,Traditional Laptops,Silver,Intel,Windows 10,8 Hours,8GB,DDR4,2TB,HDD,Normal,HP,Heavy
B079J395DC,1429.77,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,6 Hours,16GB,DDR3,512GB,SSD,Compact,Lenovo,Light
B079J4H1P2,1200.0,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,15 Hours,16GB,DDR3,,SSD,Compact,Lenovo,Light
B079J59B77,1688.77,Well,Traditional Laptops,Black,Intel,Windows 10 Pro,,16GB,DDR3,512GB,SSD,Compact,Lenovo,Light
B079JBV68W,173.99,Highly,Traditional Laptops,Black,Intel,Windows 10,,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B079NQ1W4L,170.9,Well,Traditional Laptops,,Intel,Windows 10,8.5 Hours,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B079NVXFFF,222.55,Well,Traditional Laptops,,Intel,Windows 10 Pro,,6GB,,512GB,SSD,Compact,Dell,Light
B079P8759M,193.01,Decent,Traditional Laptops,Grey,Intel,Windows 10 Pro,,8GB,DDR3,128GB,SSD,Compact,Dell,Heavy
B079TGKLNR,799.99,Highly,Traditional Laptops,,AMD,Windows 10,,8GB,DDR3,1TB,HDD,Normal,HP,Light
B079V7S6J4,599.0,Well,Traditional Laptops,,Intel,Windows 10 Pro,,16GB,DDR4,512GB,SSD,Normal,Dell,Heavy
B079VBS36N,749.0,Highly,Traditional Laptops,Shale Black,NVIDIA,Windows 10,8.5 Hours,8GB,DDR4,256GB,SSD,Normal,Acer,Heavy
B079VRQF6Z,199.48,Well,Traditional Laptops,,,,,,,,,,Unknown,
B079VVJ6DX,199.99,Highly,Traditional Laptops,Black,Intel,Chrome OS,11.5 Hours,4GB,DDR3,16GB,eMMC,Compact,HP,Light
B079WCKJ9F,142.36,Decent,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,DDR3L,500GB,HDD,Compact,Dell,Light
B079WPYBB1,228.48,Decent,Traditional Laptops,Black,Intel,Chrome OS,12 Hours,4GB,DDR3,,HDD,Normal,Acer,Heavy
B07B2GRSTJ,269.0,Decent,Traditional Laptops,Stay Grey,Intel,Windows 10 S,10 Hours,4GB,DDR3,64GB,HDD,Compact,ASUS,Light
B07B3W2HFK,205.82,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B07B5ZTK3Y,227.98,Highly,Traditional Laptops,Grey,Intel,Windows 10 Pro,,8GB,DDR3,128GB,SSD,Compact,HP,Light
B07B6C96X2,199.0,Decent,2 in 1 Laptops,Purple,Intel,Android,6 Hours,2GB,,,,Compact,Microsoft,Light
B07B6D7N65,199.0,Decent,2 in 1 Laptops,Silver,Intel,,6 Hours,2GB,,32GB,HDD,Compact,Rca,Light
B07B6M9SV2,1799.99,Well,2 in 1 Laptops,Silver,Intel,Windows 10,8 Hours,12GB,DDR4,512GB,SSD,Normal,Dell,Heavy
B07B8XX1Z1,849.99,Decent,Traditional Laptops,,NVIDIA,,8 Hours,16GB,,1TB,SSD,Normal,Apple,Heavy
B07B8YBX7V,443.0,Decent,Traditional Laptops,,Intel,MacOS 10.14 Mojave,8 Hours,16GB,,512GB,SSD,Compact,Apple,Light
B07BB85P9T,695.97,Highly,2 in 1 Laptops,Silver,Intel,Windows 10 Pro,,8GB,DDR3,512GB,SSD,Compact,HP,Light
B07BC59CBD,170.98,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,1.5 Hours,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B07BFJ4H5C,226.63,Well,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,DDR3,500GB,HDD,Normal,Dell,Heavy
B07BFTPRCD,189.0,Well,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,DDR3,,SSD,Normal,Dell,Heavy
B07BFW9D9T,659.99,Decent,2 in 1 Laptops,White,Intel,Chrome OS,10 Hours,8GB,DDR4,128GB,SSD,Compact,Google,Light
B07BHVHPKM,210.97,Decent,Traditional Laptops,Black,Intel,Windows 10 Pro,,8GB,DDR3L,256GB,SSD,Compact,HP,Light
B07BJ9T8XC,599.99,Decent,Traditional Laptops,A12,AMD,Windows 10,,4GB,DDR4,128GB,HDD,Normal,Lenovo,Heavy
B07BJT451N,479.0,Decent,Traditional Laptops,Sparkly Silver,Intel,Windows 10 Home,12 Hours,8GB,DDR4,,SSD,Compact,Acer,Light
B07BKVWWXB,289.0,Decent,Traditional Laptops,Gray,AMD,Windows 10,,,,32GB,SSD,,Dell,Light
B07BJY4WZ3,234.0,Highly,Traditional Laptops,Gray,,Chrome OS,,,,,,Compact,HP,Light
B07BKQX2GS,149.99,Decent,Traditional Laptops,Gray,AMD,Windows 10,,4GB,DDR4,32GB,SSD,Compact,Dell,Light
B07BLKKDGV,248.0,Decent,Traditional Laptops,,Intel,Mac OS,7 Hours,4GB,DDR3,,SSD,Compact,Apple,Light
B07BLPHRX9,309.99,Decent,Traditional Laptops,Black,AMD,Windows 10 Home,,4GB,,500GB,SSD,Normal,Dell,Light
B07BPB158F,1099.99,Decent,Traditional Laptops,Black,NVIDIA,Windows 10 Home,6 Hours,16GB,DDR4,1000GB,HDD,Normal,ASUS,Heavy
B07BPQY9Q8,2099.0,Decent,Traditional Laptops,Epic Silver,Intel,Windows 10 Home,,16GB,DDR4,1TB,SSD,Normal,Alienware,Heavy
B07BQ13PKX,399.0,Decent,Traditional Laptops,Black,AMD,Windows 10,7 Hours,4GB,DDR3,500GB,HDD,Normal,HP,Heavy
B0BWV4MXQG,730.01,Highly,Traditional Laptops,Black,NVIDIA,Windows 11 Home,11 Hours,8GB,DDR4,256GB,SSD,Normal,Acer,Heavy
B07BT8ZXH3,333.83,Decent,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,,256GB,SSD,Compact,Dell,Light
B07BVSR7KZ,50.97,Decent,Traditional Laptops,Gray,Intel,Chrome OS,9 Hours,4GB,DDR3L,,SSD,Compact,Acer,Light
B07BWYBQ9W,1299.97,Well,Traditional Laptops,RGB Cover Aluminum Black,NVIDIA,Windows 10 Home,,16GB,DDR4,1000GB,HDD,Normal,MSI,Heavy
B07BX68HZY,679.79,Decent,Traditional Laptops,Silver,NVIDIA,Windows 10,8 Hours,32GB,DDR4,1000GB,SSD,Normal,Dell,Light
B07BYMGR1D,1020.03,Decent,Traditional Laptops,Space Gray,AMD,MacOS 10.12 Sierra,,16GB,DDR3,256GB,SSD,Normal,Apple,Heavy
B07BZN1T8N,599.99,Well,2 in 1 Laptops,Era Gray,AMD,Windows 10 Home,,8GB,DDR4,256GB,SSD,Compact,Dell,Light
B07C316RCF,339.14,Decent,Traditional Laptops,,Intel,Windows 10 Pro,,16GB,DDR4,512GB,SSD,Normal,Dell,Light
B07C3CTML2,577.14,Decent,Traditional Laptops,Gray,Intel,MacOS 10.12 Sierra,10 Hours,8GB,DDR3,256GB,SSD,Compact,Apple,Light
B07C3Z2KH6,179.0,Decent,2 in 1 Laptops,Pink,,Android 6.0 Marshmallow,,1GB,,,,Compact,Rca,Light
B07C65293B,339.0,Highly,Traditional Laptops,Silver,Intel,,9 Hours,8GB,,256GB,SSD,Compact,Apple,Light
B07C9YV85F,149.99,Well,Traditional Laptops,,Intel,Windows 10 Pro,,8GB,DDR3,,SSD,Compact,Lenovo,Heavy
B07CG47LYG,478.0,Well,2 in 1 Laptops,,AMD,Windows 10,,12GB,,,SSD,Compact,Dell,Light
B07CGWCTB6,279.99,Well,Traditional Laptops,Grey,AMD,Windows 10 Home,,16GB,DDR4,256GB,SSD,Normal,Lenovo,Heavy
B07CHKMSGZ,1104.89,Well,Traditional Laptops,Obsidian Black,Intel,Windows 10 Home,10 Hours,8GB,DDR3,256GB,SSD,Compact,Acer,Light
B07CHY6T2M,576.0,Decent,Traditional Laptops,Space Gray,AMD,Mac OS,8 Hours,16GB,DDR3,512GB,SSD,Normal,Apple,Heavy
B07CK8VHR4,497.41,Decent,Traditional Laptops,,Intel,Windows 10 Home,,8GB,DDR4,1TB,HDD,Normal,Acer,Light
B07CKGKQD2,499.0,Well,Traditional Laptops,Silver,Intel,Windows 8,5 Hours,4GB,DDR3,500GB,HDD,Compact,Lenovo,Heavy
B07CKNCQYX,788.99,Decent,2 in 1 Laptops,Silver,Intel,Windows 10,8 Hours,8GB,DDR4,256GB,SSD,Compact,Lenovo,Light
B07CMCCX8H,383.99,Highly,2 in 1 Laptops,White,Intel,Chrome OS,10 Hours,4GB,DDR3L,32GB,SSD,Compact,Acer,Light
B07CNBY9YY,244.0,Highly,2 in 1 Laptops,White,Intel,Chrome OS,,6GB,DDR3,32GB,eMMC,Compact,Acer,Light
B07CP1R5DV,1164.02,Well,Traditional Laptops,Black,AMD,Windows 10 Home,15 Hours,16GB,,512GB,SSD,Compact,Lenovo,Light
B07CR5RYDB,1149.0,Well,Traditional Laptops,,NVIDIA,Windows 10 Home,5 Hours,16GB,DDR4,1128GB,SSD,Normal,ASUS,Heavy
B07GYPH1WD,308.87,Highly,Traditional Laptops,,Intel,Windows 10,,4GB,DDR3,64GB,SSD,Compact,Acer,Light
B07CS1JLVL,183.77,Decent,Traditional Laptops,,Intel,Windows 10,6 Hours,8GB,DDR3,256GB,SSD,Compact,HP,Light
B07DX7Q1J2,195.78,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,,8GB,DDR4,256GB,SSD,,Dell,Light
B07CSDY5VH,378.35,Decent,Traditional Laptops,Silver,Intel,Windows 10,,12GB,DDR4,1TB,HDD,Normal,Lenovo,Heavy
B07CSPWMHK,105.89,Well,Traditional Laptops,,AMD,Windows 10 Home,,4GB,DDR3,320GB,HDD,Compact,Lenovo,Heavy
B07CSQDR4N,199.48,Decent,Traditional Laptops,Grey/silver,Intel,Windows 10 Pro,5 Hours,8GB,,500GB,HDD,Compact,HP,Light
B07CTDLYJG,999.0,Well,Traditional Laptops,,Intel,Windows 10,5 Hours,12GB,DDR4,1TB,HDD,Normal,Lenovo,Light
B07CTHLX8B,1199.99,Decent,Traditional Laptops,Silver,NVIDIA,Windows 10 Home,,8GB,DDR4,256GB,SSD,Normal,Dell,Heavy
B07CTN5V51,349.9,Well,2 in 1 Laptops,Silver,Intel,Windows 10,6 Hours,8GB,DDR4,256GB,SSD,Normal,Dell,Heavy
B07CTRFHW9,134.49,Decent,Traditional Laptops,Black,Intel,Windows 10,,3GB,DDR3,120GB,SSD,Compact,Dell,Light
B07CTT3LWC,136.59,Well,Traditional Laptops,,Intel,Windows 10 Pro,5 Hours,8GB,DDR3,240GB,SSD,Compact,Dell,Light
B07CXZ2FRV,1449.0,Well,Traditional Laptops,,Intel,Windows 10 Pro,,16GB,DDR3,512GB,SSD,Compact,ASUS,Light
B07CZ6HX48,255.0,Well,2 in 1 Laptops,Black,Intel,Windows 10 Pro,10 Hours,8GB,DDR3,256GB,SSD,Compact,Dell,Light
B07D1GFX5F,595.97,Well,Traditional Laptops,Black,Intel,Windows 10 Pro,12.23 Hours,4GB,DDR4,500GB,HDD,Normal,Lenovo,Heavy
B07D2WPYN1,229.0,Well,2 in 1 Laptops,Red,AMD,Windows 10,,4GB,DDR4,32GB,SSD,Compact,Dell,Heavy
B07D56W5KF,699.99,Highly,2 in 1 Laptops,Era Gray,AMD,Windows 10,,8GB,,256GB,SSD,Compact,Dell,Light
B07D5MCQ82,143.49,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,4 Hours,8GB,,256GB,SSD,Compact,Dell,Light
B07D5N1PFY,152.95,Highly,Traditional Laptops,Black,Intel,Windows 10 Pro,5 Hours,8GB,,256GB,SSD,Compact,Dell,Light
B07D5TF3Q1,195.0,Highly,Traditional Laptops,Black,MediaTek,Chrome OS,10 Hours,4GB,DDR3,64GB,SSD,Compact,Lenovo,Light
B07D6F9H8X,409.0,Decent,2 in 1 Laptops,Black,Intel,Windows 10,,8GB,DDR4,1TB,HDD,Huge,Lenovo,Heavy
B07D6FN5RJ,199.99,Highly,2 in 1 Laptops,White,Intel,Chrome OS,,4GB,DDR3,32GB,eMMC,Compact,HP,Light
B07DF43SY3,518.97,Highly,Traditional Laptops,Space grey,NVIDIA,Mac OS,8 Hours,16GB,DDR3,512GB,SSD,Normal,Apple,Heavy
B07D77MH1V,232.34,Well,Traditional Laptops,,Intel,Windows 10,,3GB,DDR3,1TB,HDD,Compact,HP,Heavy
B07D7H5WFP,239.0,Decent,Traditional Laptops,Silver,Intel,Mac OS,9 Hours,4GB,DDR3,128GB,SSD,Compact,Apple,Light
B07D957L3S,306.0,Highly,Traditional Laptops,Silver,Intel,MacOS 10.14 Mojave,5 Hours,8GB,,128GB,SSD,Compact,Apple,Heavy
B07DF9KKRD,795.0,Decent,2 in 1 Laptops,Grey,AMD,Windows 10,,12GB,DDR4,,SSD,Compact,Dell,Light
B07DJRVRDY,814.99,Well,2 in 1 Laptops,Black,Intel,Windows 10 Pro,5 Hours,16GB,,256GB,SSD,Compact,Dell,Heavy
B07DKSVFGJ,192.0,Well,Traditional Laptops,,Intel,Chrome OS,,4GB,,16GB,eMMC,Compact,HP,Heavy
B07DP91WSG,507.16,Well,Traditional Laptops,,Intel,Windows 10,7 Hours,12GB,DDR4,1TB,HDD,Normal,HP,Heavy
B07DKW14Q6,2187.49,Well,Traditional Laptops,Silver,NVIDIA,,,32GB,DDR4,1TB,SSD,Normal,Dell,Light
B07DL9LQ79,898.65,Highly,Traditional Laptops,Silver,AMD,Windows 10,,8GB,DDR4,1TB,HDD,Huge,HP,Light
B07DN2JG5T,139.16,Decent,Traditional Laptops,Silver,Intel,Windows 10,5 Hours,4GB,DDR4,500GB,HDD,Normal,Lenovo,Light
