key,frequency,unique_products,coverage_pct
"Mounting Type Desk Fan,Freestanding,Table Fan",7,7,0.00
Mixer Channel Quantity,7,7,0.00
Chamber Width,6,6,0.00
Inner Material,6,6,0.00
Switch Type Toggle,6,6,0.00
"Mounting Type Freestanding,Hanging,Neck Fan",6,6,0.00
Musical Style,6,6,0.00
Material Alloy Steel,6,6,0.00
Assembly Required Yes,6,6,0.00
Extended Length,6,6,0.00
Back Material,6,6,0.00
Back Style,6,6,0.00
Occupancy,6,6,0.00
Performance Description,6,6,0.00
Base Width,6,6,0.00
Photo Paper Base,6,6,0.00
Operating Life,6,6,0.00
Seat Material Type,6,6,0.00
Shaft Material,6,6,0.00
Design,6,6,0.00
Is Customizable,6,6,0.00
Number of Wheels,6,6,0.00
Product Grade,6,6,0.00
Material Type Free,5,5,0.00
Frame Material Wood,5,5,0.00
Number of Dividers,5,5,0.00
Storage Humidity,5,5,0.00
Voltage 3 Volts,5,5,0.00
Active Surface Area,5,5,0.00
Lighting Method,5,5,0.00
Maximum Diameter,5,5,0.00
Number of Blades 3,5,5,0.00
Light Path Distance,5,5,0.00
UV Protection,5,5,0.00
Surface Recommendation Door,5,5,0.00
Total Internal Bays,5,5,0.00
Battery Cell Composition Sealed Lead Acid,5,5,0.00
Tab Position,5,5,0.00
Dishwasher safe,5,5,0.00
Item Firmness Description,5,5,0.00
Vehicle Service Type Motorcycle,5,5,0.00
Windows System Requirements,5,5,0.00
Diopter Range Description,5,5,0.00
Instrument Key,5,5,0.00
"Mounting Type Freestanding,Tabletop",5,5,0.00
Vehicle Service Type Car,5,5,0.00
Light Source Wattage,5,5,0.00
Linux System Requirements,5,5,0.00
Simultaneous device usage,5,5,0.00
"Mounting Type Clip On,Freestanding",5,5,0.00
Lines Per Page,5,5,0.00
Amplifier Type,5,5,0.00
Unix System Requirements,5,5,0.00
Wallet compartment type,5,5,0.00
Blanket Form,5,5,0.00
Number of Speeds 2,5,5,0.00
Material Wood,5,5,0.00
Mac System Requirements,5,5,0.00
Is Discontinued by Manufacturer,4,4,0.00
Cut Type,4,4,0.00
Caster Type,4,4,0.00
Type,4,4,0.00
Assembly Required No,4,4,0.00
Instrument,4,4,0.00
Material Paper,4,4,0.00
Batteries Included,4,4,0.00
Material Copper,4,4,0.00
"Surface Recommendation Car, Computer",4,4,0.00
Motor Horsepower,4,4,0.00
Coating,4,4,0.00
Wall Art Form,4,4,0.00
Material Rubber,4,4,0.00
Maximum Image Size,4,4,0.00
Alert type,4,4,0.00
Washer Type,4,4,0.00
Door Style,4,4,0.00
Sensor Technology,4,4,0.00
Percussion Diameter,4,4,0.00
"Mounting Type Neck Fan,Freestanding",4,4,0.00
Style Modern,4,4,0.00
Material Stainless Steel,4,4,0.00
Educational Objective,4,4,0.00
Blade Edge,4,4,0.00
Service Provider,4,4,0.00
Shelf Type Floating Shelf,4,4,0.00
Material Glass,4,4,0.00
Set Screw Thread Type,4,4,0.00
Wheel Type,4,4,0.00
Min. Operating Voltage,4,4,0.00
Paint Type,4,4,0.00
Number of Blades 4,4,4,0.00
Valve Type,4,4,0.00
Fill Material Type,4,4,0.00
Switch Type Kvm Switch,4,4,0.00
Computer Platform,4,4,0.00
Speaker Size,4,4,0.00
Safety warning,4,4,0.00
Is Stain Resistant,4,4,0.00
Number of Speeds 4,4,4,0.00
Contributor,4,4,0.00
"Surface Recommendation Window, Door",4,4,0.00
Assembled Depth,4,4,0.00
Top Material,4,4,0.00
"Surface Recommendation Window, Wall",4,4,0.00
"Surface Recommendation Window, Wall, Furniture",4,4,0.00
Ignition System Type,4,4,0.00
Mirror Lighting Type,3,3,0.00
Frequency Bands Supported,3,3,0.00
"Material Aluminum , Plastic",3,3,0.00
Shelf Type Metal,3,3,0.00
Manufacturer Minimum Age (MONTHS),3,3,0.00
"Mounting Type Clip On,Desk Fan,Freestanding",3,3,0.00
Line Weight,3,3,0.00
Light Source Type LED,3,3,0.00
Floor Area,3,3,0.00
Speaker Driver Material Type,3,3,0.00
Number of Blades 9,3,3,0.00
Specialty,3,3,0.00
Fabric cleaning,3,3,0.00
Fabric Warmth Description,3,3,0.00
Spout Height,3,3,0.00
Lexile measure,3,3,0.00
String Material,3,3,0.00
String Material Type,3,3,0.00
"Material Silicone, Acrylonitrile Butadiene Styrene",3,3,0.00
Label,3,3,0.00
Phase Type,3,3,0.00
"Mounting Type Freestanding,Hanging,Neck,Neck Fan",3,3,0.00
Surface Recommendation Car,3,3,0.00
Photo Paper Surface,3,3,0.00
Surface Recommendation Computer,3,3,0.00
Plant or Animal Product Type,3,3,0.00
Number of Connectors,3,3,0.00
Pole Material Type,3,3,0.00
"Surface Recommendation Laptop, Car, Computer, Desk",3,3,0.00
Post-Consumer Recycled Content Percentage,3,3,0.00
Power source type,3,3,0.00
Surface Recommendation Trackpad,3,3,0.00
Surface Recommendation Upholstery,3,3,0.00
Surface Recommendation Vent,3,3,0.00
Maximum weight recommendation,3,3,0.00
"Surface Recommendation Window, Car, Computer",3,3,0.00
"Surface Recommendation Window, Furniture",3,3,0.00
Product Benefits,3,3,0.00
Proficiency Level,3,3,0.00
Surface Recommendation window,3,3,0.00
Publication Date,3,3,0.00
Switch Type Flow Switch,3,3,0.00
Puzzle type,3,3,0.00
Installation Type Pre-Pasted,3,3,0.00
Incandescent equivalent,3,3,0.00
Material PVC,3,3,0.00
Controller Type Remote Control,3,3,0.00
Heating Method,3,3,0.00
Music Tracks,3,3,0.00
Colours displayed,3,3,0.00
Tip Type,3,3,0.00
Has Nonstick Coating,3,3,0.00
Neck Material Type,3,3,0.00
Chamber Depth,3,3,0.00
Ruling Type,3,3,0.00
Guitar Pickup Configuration,3,3,0.00
Call conference,3,3,0.00
Burner type,3,3,0.00
Bulb Length,3,3,0.00
Guitar Bridge System,3,3,0.00
Vehicle Service Type Passenger Car,3,3,0.00
Brush Length,3,3,0.00
Sensor technology,3,3,0.00
Occupant Capacity,3,3,0.00
Opacity,3,3,0.00
Rim Size,2,2,0.00
Inlet Connection Type,2,2,0.00
Switch Type Rotary,2,2,0.00
Material rubber,2,2,0.00
Total Eaches,2,2,0.00
Analog Video Output,2,2,0.00
Inside Thread Size,2,2,0.00
Switch Type Pressure Switch,2,2,0.00
Switch Type MOSFET,2,2,0.00
Switch Type Limit Switch,2,2,0.00
Mounting Type Desktop,2,2,0.00
Switch Type Kill Switch,2,2,0.00
Switch Type DIP Switch,2,2,0.00
Pump type,2,2,0.00
Mounting Type Window Mount,2,2,0.00
Mounting Type Rack Mount,2,2,0.00
"Material Plastic, Silica Gel",2,2,0.00
Frame Material Metal,2,2,0.00
Cutting Angle,2,2,0.00
Surface Recommendation trackpad,2,2,0.00
Insulation Resistance,2,2,0.00
"Mounting Type Desk Fan,Tabletop",2,2,0.00
Number of channels,2,2,0.00
"Surface Recommendation Window, Metal, Plastic, Wood",2,2,0.00
With Lid,2,2,0.00
"Surface Recommendation Window, Laptop, Car, Computer",2,2,0.00
"Mounting Type Desk Fan,Table Fan,Tabletop",2,2,0.00
"Mounting Type Portable,Desk Fan",2,2,0.00
Item Depth,2,2,0.00
Number of Jets,2,2,0.00
Surface Recommendation Vinyl,2,2,0.00
Mass Market Paperback,2,2,0.00
Shape Apple,2,2,0.00
Surface Recommendation Tablet,2,2,0.00
Item Display Dimensions,2,2,0.00
Variety,2,2,0.00
Bulb Diameter,2,2,0.00
Noise,2,2,0.00
Surface Recommendation Smooth surface,2,2,0.00
Surface Recommendation Smooth Surface,2,2,0.00
Material Acrylic,2,2,0.00
Power Supply Maximum Output,2,2,0.00
Mounting Type Portable,2,2,0.00
Active Ingredients,2,2,0.00
Item Styling,2,2,0.00
"Material Vinyl, PVC",2,2,0.00
"Mounting Type Desk Fan,Table Fan",2,2,0.00
Mounting Type Ceiling Mount,2,2,0.00
Brush Width,2,2,0.00
Minimum weight recommendation,2,2,0.00
Maximum Height Recommendation,2,2,0.00
Bowl Material,2,2,0.00
Bottom Shape,2,2,0.00
Board book,2,2,0.00
"Surface Recommendation Laptop, Piano, Car, Computer, Desk, Pet House",2,2,0.00
Blade Type,2,2,0.00
Blade Shape,2,2,0.00
Material Pvc,2,2,0.00
Bike Type,2,2,0.00
"Surface Recommendation Laptop, Car, Computer",2,2,0.00
Belt Style,2,2,0.00
Measurement Accuracy,2,2,0.00
Dial Color,2,2,0.00
Surface Recommendation Indoor,2,2,0.00
Portable,2,2,0.00
Item Weight 1 Pounds,2,2,0.00
"Surface Recommendation Floor, Wall",2,2,0.00
Grip Size,2,2,0.00
Surface Recommendation Desktop,2,2,0.00
Mounting Type Table Fan,2,2,0.00
Grip Material,2,2,0.00
Pile Height,2,2,0.00
Battery Cell Composition Lead Acid,2,2,0.00
Mounting Type Surface Mount,2,2,0.00
"Surface Recommendation Car, Computer, Desk",2,2,0.00
Batteries Required,2,2,0.00
Item Weight 97 Pounds,2,2,0.00
Phone Standby Time,2,2,0.00
Supported Software,2,2,0.00
Dosage Form,2,2,0.00
Barrel Material Type,2,2,0.00
Band Size,2,2,0.00
Duration,2,2,0.00
Backlight,2,2,0.00
Leg Style,2,2,0.00
Operating Frequency,2,2,0.00
Number Of Panels,2,2,0.00
Storage Volume,2,2,0.00
Life Vest Type,2,2,0.00
Pamphlet,2,2,0.00
External Testing Certification,2,2,0.00
Wheel Size,2,2,0.00
Spiral bound,2,2,0.00
Material Silver,2,2,0.00
Number of Blades 5,2,2,0.00
Flash,2,2,0.00
"Mounting Type Desk Fan,Freestanding,Neck Fan,Tabletop",2,2,0.00
Software requirement minimum ram,2,2,0.00
material_composition,2,2,0.00
Compatible Printer Models,2,2,0.00
Genre,2,2,0.00
Remote Control Description,2,2,0.00
"Mounting Type Hanging,Neck Fan,Freestanding",2,2,0.00
Refrigerant,2,2,0.00
Collection,2,2,0.00
Max Copy Speed (Black & White),2,2,0.00
Furniture leg material,2,2,0.00
Resistance Mechanism,2,2,0.00
Cooling Power,2,2,0.00
Head Material,2,2,0.00
Folded Knife Size,2,2,0.00
Top Material Type Aluminum,2,2,0.00
Top Material Type Engineered Wood,2,2,0.00
Top Material Type Metal,2,2,0.00
Number of Resistance Levels,2,2,0.00
Chocolate Type,1,1,0.00
Centerline Length,1,1,0.00
Misc Supplies,1,1,0.00
Caster/Glide/Wheel Type,1,1,0.00
Capacity 4.7 GB,1,1,0.00
U-Rack Size,1,1,0.00
Cap Type,1,1,0.00
Camera Magnify Power,1,1,0.00
Unit Grouping,1,1,0.00
CPU Model Number,1,1,0.00
Vehicle Service Type Automobile,1,1,0.00
"Vehicle Service Type Motorcycle, ATV, Car, SUV, UTV, Truck, Snowmobile",1,1,0.00
"Vehicle Service Type Motorcycle, Car",1,1,0.00
Vehicle Service Type Scooter,1,1,0.00
Vehicle Service Type Truck,1,1,0.00
"Vehicle Service Type Van, Car, SUV, Truck",1,1,0.00
"Vehicle Service Type motorcycle, ATV, snowmobiles, Personal Watercraft",1,1,0.00
Breed Recommendation,1,1,0.00
Viewing Area,1,1,0.00
Bearing Number,1,1,0.00
Voltage 120 Volts,1,1,0.00
Voltage 240 Volts,1,1,0.00
Voltage 3.59 Volts,1,1,0.00
Voltage 3.6 Volts,1,1,0.00
Voltage 6 Volts,1,1,0.00
Voltage 7.2 Volts,1,1,0.00
Base Diameter,1,1,0.00
Water Resistance Technology,1,1,0.00
Backing,1,1,0.00
Wattage 120 watts,1,1,0.00
Wattage 1350 watts,1,1,0.00
Wattage 1700 watts,1,1,0.00
Audio Output Effects,1,1,0.00
Assembled Seat Height,1,1,0.00
Application Version,1,1,0.00
Wireless Microphone Frequency,1,1,0.00
Annual Energy Consumption,1,1,0.00
Alcohol Content,1,1,0.00
Additional Drives,1,1,0.00
Writers,1,1,0.00
Metal Type Aluminum,1,1,0.00
Mirror Lens Type,1,1,0.00
Center To Center Spacing,1,1,0.00
Metal Type Alloy Steel,1,1,0.00
Maximum Weight Recommendation 290 Pounds,1,1,0.00
Maximum Torque,1,1,0.00
Mounting Type Adhesive,1,1,0.00
"Mounting Type Adhesive,Freestanding",1,1,0.00
"Mounting Type Ceiling Mount,Clip On,Freestanding",1,1,0.00
"Mounting Type Ceiling Mount,Freestanding",1,1,0.00
"Mounting Type Ceiling Mount,Freestanding,Hanging",1,1,0.00
"Mounting Type Ceiling Mount,Magnetic Mount,Freestanding",1,1,0.00
"Mounting Type Clamp Mount,Clip On",1,1,0.00
"Mounting Type Clamp Mount,Clip On,Desk Fan,Freestanding",1,1,0.00
"Mounting Type Clamp Mount,Clip On,Surface",1,1,0.00
"Mounting Type Clip On,Freestanding,Hanging,Tabletop",1,1,0.00
"Mounting Type Clip On,Freestanding,Neck",1,1,0.00
"Mounting Type Clip On,Freestanding,Table Fan",1,1,0.00
"Mounting Type Deck,Surface,Tabletop",1,1,0.00
"Mounting Type Desk Fan,Clip On,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Desk Table,Clip On,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Desk Table,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Floor Mount,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Foldable,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Free Desk",1,1,0.00
"Mounting Type Desk Fan,Freestanding,Neck Fan",1,1,0.00
"Mounting Type Desk Fan,Freestanding,Tabletop",1,1,0.00
"Mounting Type Desk Fan,Hanging,Neck Fan,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Hanging,Table Fan,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Portable",1,1,0.00
"Mounting Type Desk Fan,Table",1,1,0.00
"Mounting Type Desk Fan,Table Fan,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Tabletop,Clip On,Freestanding",1,1,0.00
"Mounting Type Desk Fan,Tabletop,Neck Fan,Freestanding",1,1,0.00
"Mounting Type Desk Table,Freestanding",1,1,0.00
"Mounting Type Desk Table,Freestanding,Table Fan",1,1,0.00
"Mounting Type Door Mount,Window Mount",1,1,0.00
Mounting Type Floor Mount,1,1,0.00
"Mounting Type Foldable,Freestanding,Hanging,Neck Fan",1,1,0.00
"Mounting Type Foldable,Freestanding,Hanging,Neck Fan,Tabletop",1,1,0.00
"Mounting Type Free Standing, Free Wrap, Clip on, Hanging, Removable LegsFree Standing, Free Wrap, Clip on, Hanging, Removable Legs  See more",1,1,0.00
"Mounting Type Freestanding, found in image",1,1,0.00
"Mounting Type Freestanding,Adhesive,Wall Mount",1,1,0.00
"Mounting Type Freestanding,Hanging,Neck",1,1,0.00
"Mounting Type Freestanding,Hanging,Neck Fan,Tabletop",1,1,0.00
"Mounting Type Freestanding,Hanging,Neck,Tabletop",1,1,0.00
"Mounting Type Freestanding,Hung,Neck Fan",1,1,0.00
"Mounting Type Freestanding,Magnetic Mount",1,1,0.00
"Mounting Type Freestanding,Neck",1,1,0.00
"Mounting Type Freestanding,Neck Fan,Neck Fans",1,1,0.00
"Mounting Type Freestanding,Neck Fan,On",1,1,0.00
"Mounting Type Freestanding,Neck Fan,On,Tabletop",1,1,0.00
"Mounting Type Freestanding,Window Mount",1,1,0.00
Mounting Type Hanging Mount,1,1,0.00
"Mounting Type Hanging,Hung,Neck Fan,Freestanding",1,1,0.00
"Mounting Type Hanging,Neck Fan",1,1,0.00
"Mounting Type Hanging,Neck,Neck Fan",1,1,0.00
"Mounting Type Hanging,Neck,Neck Fan,Freestanding",1,1,0.00
"Mounting Type Hanging,Neck,Tabletop,Neck Fan,Freestanding",1,1,0.00
"Mounting Type Hanging,Tabletop,Neck Fan,Freestanding",1,1,0.00
Mounting Type Headrest Mount,1,1,0.00
Mounting Type Neck,1,1,0.00
"Mounting Type Neck,Freestanding",1,1,0.00
Mounting Type Not Available,1,1,0.00
Mounting Type Plug In Mount,1,1,0.00
Mounting Type Portable neck fan/Wearable fan/Necklace fan,1,1,0.00
"Mounting Type Portable,Desktop",1,1,0.00
Mounting Type Rubber Fan,1,1,0.00
Mounting Type Sink,1,1,0.00
"Mounting Type Suction Cup,Clip On,Freestanding",1,1,0.00
Mounting Type Surface,1,1,0.00
"Mounting Type Table Fan,Freestanding",1,1,0.00
"Mounting Type Table Mount,Tabletop",1,1,0.00
Access Location,1,1,0.00
"Mounting Type Tabletop,Freestanding",1,1,0.00
Mounting Type Tower Fan,1,1,0.00
Mounting Type USB,1,1,0.00
Mounting Type USB-A Device,1,1,0.00
Maximum Compatible Light Source Wattage,1,1,0.00
"Mounting Type Wall Mount, Ceiling Fan, Desktop",1,1,0.00
"Mounting Type Window Mount,Tabletop",1,1,0.00
"Mounting Type handheld, Neck, hanging",1,1,0.00
Max Spin Speed,1,1,0.00
Material 丙烯腈-丁二烯-苯乙烯共聚物,1,1,0.00
Neck Style,1,1,0.00
Material not null,1,1,0.00
"Material Wood,Wooden",1,1,0.00
"Material Wood, Plastic",1,1,0.00
"Material Vinyl, Ink",1,1,0.00
Material Unspecified,1,1,0.00
Number Of Circuits,1,1,0.00
Material Type(s),1,1,0.00
Number Of Doors,1,1,0.00
Material Tpe,1,1,0.00
Number Of Licenses,1,1,0.00
Material Thermoplastic Elastomer (TPE),1,1,0.00
Material TPE,1,1,0.00
Material Steel,1,1,0.00
Material Solid steel with durable powder coated finish and tempered black glass shelvesSolid steel with durable powder coated finish and tempered black glass shelves  See more,1,1,0.00
Number of Blades 15,1,1,0.00
Number of Blades 2,1,1,0.00
Number of Blades 7,1,1,0.00
"Material Silicone, Plastic, Silica Gel",1,1,0.00
Number of Compartments 3,1,1,0.00
Number of Compartments 7,1,1,0.00
Number of Compartments 8,1,1,0.00
"Material Resin, Acrylonitrile Butadiene Styrene",1,1,0.00
Material Quiet electric motor,1,1,0.00
Number of Fasteners,1,1,0.00
Material Premium ABS,1,1,0.00
Material Polyvinyl Chloride,1,1,0.00
Material Polyurethane,1,1,0.00
Material Polypropylene,1,1,0.00
"Material Polyester, Leather, Polyvinyl Chloride",1,1,0.00
Material Polyester,1,1,0.00
Material Polycarbonate (PC),1,1,0.00
"Material Plastic,ABS（non-wood）",1,1,0.00
"Material Plastic, Polycarbonate",1,1,0.00
"Material Plastic, Metal, Polycarbonate",1,1,0.00
"Material Plastic, Metal",1,1,0.00
"Material Paper, Pvc",1,1,0.00
Material PET,1,1,0.00
Number of Speeds 12,1,1,0.00
Material Other,1,1,0.00
Number of Speeds 5,1,1,0.00
Material Nylon,1,1,0.00
Number of Tracks,1,1,0.00
"Material Metal, Microfiber, Foam",1,1,0.00
"Material Lead,Abs",1,1,0.00
Material Kvm,1,1,0.00
"Material Iron, Acrylonitrile Butadiene Styrene, Metal",1,1,0.00
Material High strength composite,1,1,0.00
Material High speed copper,1,1,0.00
"Material Glass, Steel, Plastic",1,1,0.00
Material Food grade ABS materials and Extra-fine stainless steelFood grade ABS materials and Extra-fine stainless steel  See more,1,1,0.00
Material Foam,1,1,0.00
Material Eva,1,1,0.00
Occasion Travel,1,1,0.00
Occasion Travelling,1,1,0.00
Occasion outdoor,1,1,0.00
Opening Shape,1,1,0.00
Material Composition,1,1,0.00
Material Carbon,1,1,0.00
Material Brass,1,1,0.00
"Material Aluminum , Silicone, Plastic, Iron",1,1,0.00
"Material Alloy Steel, Polycarbonate",1,1,0.00
"Material Alloy Steel, Metal",1,1,0.00
"Material Alloy Steel, Leather",1,1,0.00
Material ABS Plastic,1,1,0.00
Option Cycles,1,1,0.00
Manufacturer Warranty,1,1,0.00
Outlet Connection Size,1,1,0.00
Outlet Connection Type,1,1,0.00
Lumen Maintenance Factor at the End of Life,1,1,0.00
Locking,1,1,0.00
Lining Description,1,1,0.00
Actors,1,1,0.00
Pad Type,1,1,0.00
Page numbers source ISBN,1,1,0.00
Pages,1,1,0.00
Peak Output Current,1,1,0.00
Percentage assay,1,1,0.00
Item Weight 95 Pounds,1,1,0.00
Item Weight 86.9 Pounds,1,1,0.00
Item Weight 6.82 Pounds,1,1,0.00
Item Weight 5.28 Ounces,1,1,0.00
Item Weight 5 Pounds,1,1,0.00
Item Weight 44 Pounds,1,1,0.00
Item Weight 320 Grams,1,1,0.00
Item Weight 3 Pounds,1,1,0.00
Item Weight 20 Pounds,1,1,0.00
Item Weight 1 Ounces,1,1,0.00
Item Weight 0.01 Ounces,1,1,0.00
Item Torque,1,1,0.00
Power Source Battery Powered,1,1,0.00
Power Source Corded Electric,1,1,0.00
Item Pitch,1,1,0.00
Item Dimensions L x W x H,1,1,0.00
Primary Supplement Type,1,1,0.00
Is Oven Safe,1,1,0.00
Printer Media Size Maximum,1,1,0.00
Is Autographed,1,1,0.00
Producers,1,1,0.00
Installation Type tension,1,1,0.00
Installation Type desktop,1,1,0.00
Installation Type Wall Mount,1,1,0.00
Installation Type Sticks,1,1,0.00
Installation Type Portable,1,1,0.00
Installation Method Self-Adhesive,1,1,0.00
Inlet Connection Size,1,1,0.00
Incontinence Protector Type,1,1,0.00
Image Brightness,1,1,0.00
Heating method,1,1,0.00
"Heating Method fan & forced air, Convection",1,1,0.00
Remote Control Technology,1,1,0.00
Heat Output,1,1,0.00
Reservoir Capacity,1,1,0.00
Resistance,1,1,0.00
Roast Level,1,1,0.00
Handle Type Pull Handle,1,1,0.00
Handle Type Lever,1,1,0.00
Rotation Direction,1,1,0.00
Rounds,1,1,0.00
Run time,1,1,0.00
Handle Type Knob,1,1,0.00
Handle,1,1,0.00
Scale Length,1,1,0.00
Guitar Pick Thickness,1,1,0.00
Grit Type,1,1,0.00
Grit Rating,1,1,0.00
Grit Number,1,1,0.00
Grit Material,1,1,0.00
Seasonal Energy Efficiency Ratio (SEER),1,1,0.00
Grit Description,1,1,0.00
Seat Height,1,1,0.00
Seat Material Type Foam,1,1,0.00
Seat Material Type Vinyl,1,1,0.00
Greyscale Depth,1,1,0.00
Grade Rating,1,1,0.00
Grade,1,1,0.00
Setting Type,1,1,0.00
Full Cure Time,1,1,0.00
Shape 2D,1,1,0.00
Shape Die Cut,1,1,0.00
Fretboard Material Type,1,1,0.00
Shape L-Shape,1,1,0.00
Shape Recessed,1,1,0.00
Shape Square,1,1,0.00
Shape T-Shape,1,1,0.00
Shape Triangular,1,1,0.00
Shape Z-Shape,1,1,0.00
Shape column,1,1,0.00
Shape 扁圆头,1,1,0.00
Frame Material Polyurethane,1,1,0.00
Frame Material Plastic,1,1,0.00
Shelf Type Bracket Shelf,1,1,0.00
Shelf Type Glass,1,1,0.00
Shelf Type Hanging Shelf,1,1,0.00
Shelf Type Plastic,1,1,0.00
"Shelf Type Wire, Glass, Spill Proof, Adjustable",1,1,0.00
Shelf Type Wood,1,1,0.00
"Shelf Type Wood, Glass",1,1,0.00
Shelf Type 悬臂式货架,1,1,0.00
"Frame Material Metal, Wood",1,1,0.00
Shelves,1,1,0.00
"Frame Material Glass, Engineered Wood, Metal",1,1,0.00
Frame Material Glass,1,1,0.00
Frame Material Alloy Steel,1,1,0.00
Fragrance Concentration,1,1,0.00
Flow Rate Description,1,1,0.00
Skin Tone,1,1,0.00
Flow Rate,1,1,0.00
Floor Length,1,1,0.00
Floor Area 700.0,1,1,0.00
Finish Type Polished,1,1,0.00
Finish Type Black,1,1,0.00
Finish Type Anodized,1,1,0.00
Filter Class,1,1,0.00
Film Lighting Type,1,1,0.00
Specific Uses for Product,1,1,0.00
Standard Cycles,1,1,0.00
Equalizer Bands,1,1,0.00
Star Classification,1,1,0.00
Sterility Rating,1,1,0.00
Energy Star,1,1,0.00
Effective Video Resolution,1,1,0.00
Strength,1,1,0.00
Studio,1,1,0.00
Style Casual,1,1,0.00
Style Handle Speed Knob Crank,1,1,0.00
Style Simple,1,1,0.00
Style Thermal,1,1,0.00
Style Traditional,1,1,0.00
Edge Style,1,1,0.00
Door Material Type,1,1,0.00
Director,1,1,0.00
Diet Type,1,1,0.00
Surface Recommendation All floors,1,1,0.00
Surface Recommendation Any,1,1,0.00
Surface Recommendation Any smooth surface,1,1,0.00
"Surface Recommendation Car, Pet House",1,1,0.00
Surface Recommendation Carpet,1,1,0.00
"Surface Recommendation Ceramic,Glass,Plastic",1,1,0.00
Surface Recommendation Cloth,1,1,0.00
"Surface Recommendation Computer, Desk",1,1,0.00
"Surface Recommendation Computer, keyboards, electronics with air vents",1,1,0.00
Surface Recommendation Desk,1,1,0.00
"Surface Recommendation Desktop, Computer, Keyboard",1,1,0.00
"Surface Recommendation Desktops, sofas, beds, computer, piano, etc",1,1,0.00
Surface Recommendation Dual Action,1,1,0.00
Diameter of Lampshade,1,1,0.00
"Surface Recommendation Glass, plastic, wood, laptop, notebook, computer",1,1,0.00
Surface Recommendation Grass，Metal，Plastic,1,1,0.00
"Surface Recommendation Hard Floor,Carpet",1,1,0.00
"Surface Recommendation Laptop, Car",1,1,0.00
"Surface Recommendation Laptop, Car, Desk",1,1,0.00
"Surface Recommendation Laptop, Piano, Car, Computer, Desk",1,1,0.00
"Surface Recommendation Laptop, Water Bottle, Computer, Skateboard, Luggage, Guitar, Car, Bumper, Bike, Bicycle, Bedroom, Travel case, Motorcycle, Skateboard, Snowboard, Wall decalsLaptop, Water Bottle, Computer, Skateboard, Luggage, Guitar, Car, Bumper, Bike, Bicycle, Bedroom, Travel case, Motorcycle, Skatebo…  See more",1,1,0.00
Surface Recommendation Leather,1,1,0.00
"Surface Recommendation Metal, Wood, Glass",1,1,0.00
Surface Recommendation PET,1,1,0.00
"Surface Recommendation PVC,Vinyl",1,1,0.00
"Surface Recommendation Piano, Car, Computer, Desk",1,1,0.00
"Surface Recommendation Piano, Car, Computer, Desk, Window",1,1,0.00
"Surface Recommendation Plastic, Metal",1,1,0.00
Surface Recommendation Shower,1,1,0.00
Surface Recommendation Smooth and flat,1,1,0.00
"Surface Recommendation Smooth surface whatever plastic or metal, wood, glassSmooth surface whatever plastic or metal, wood, glass  See more",1,1,0.00
"Surface Recommendation Wall, Furniture",1,1,0.00
"Surface Recommendation Water Bottle,Laptop,Skateboard,etc",1,1,0.00
"Surface Recommendation Water bottle, laptop computer, tumbler cup, phone case,notebook, scrapbook, journalWater bottle, laptop computer, tumbler cup, phone case,notebook, scrapbook, journal  See more",1,1,0.00
"Surface Recommendation Water bottle, laptop, computer, scrapbook, tumbler, cup, jounal, phone case,notebookWater bottle, laptop, computer, scrapbook, tumbler, cup, jounal, phone case,notebook  See more",1,1,0.00
Surface Recommendation Water bottles Laptop,1,1,0.00
Surface Recommendation Waterproof Stickers for Water bottle Laptop LuggageWaterproof Stickers for Water bottle Laptop Luggage  See more,1,1,0.00
Dawes Limit,1,1,0.00
"Surface Recommendation Window, Furniture, Door",1,1,0.00
"Surface Recommendation Window, Wall, Furniture, Automobiles",1,1,0.00
Surface Recommendation Wood,1,1,0.00
Surface Recommendation aluminum,1,1,0.00
Surface Recommendation back,1,1,0.00
"Surface Recommendation computers, tablets, skateboards, water bottles, mobile phones, suitcases, handbags, guitars, walls, refrigerators, scrapbookcomputers, tablets, skateboards, water bottles, mobile phones, suitcases, handbags, guitars, walls, refrigerators, scr…  See more",1,1,0.00
Data input,1,1,0.00
"Surface Recommendation laptop, water bottle, computer, helmet, bike, cups, tumblerlaptop, water bottle, computer, helmet, bike, cups, tumbler  See more",1,1,0.00
"Surface Recommendation smooth surface whatever plastic, glasss, metal and woodsmooth surface whatever plastic, glasss, metal and wood  See more",1,1,0.00
Surface Recommendation vinyl,1,1,0.00
Surface Recommendation water bottle laptop computer notebook tumbler cup,1,1,0.00
Surface Recommendation water bottle laptop computer skateboard helmet cup,1,1,0.00
"Surface Recommendation water bottle, laptop, computer, travel Case, tumbler cup, phone casewater bottle, laptop, computer, travel Case, tumbler cup, phone case  See more",1,1,0.00
Surface Recommendation water bottles,1,1,0.00
Cutting Width,1,1,0.00
Curtain Form,1,1,0.00
Switch Type Bipolar Transistor,1,1,0.00
Switch Type Button Switch,1,1,0.00
