parent_asin,title,main_category,confidence,reason,brands,laptop_keywords,spec_types
B01J5AT6Z0,"13 13.3 Inch Felt Laptop Sleeve, iXCC Case Cover Bag for iPad Pro 12.9/13 Inch MacBook Pro Retina/Air/Surface Book and More - Light Grey",Computers,high,Laptop keyword: laptop,"macbook, surface","laptop, macbook",screen
B093SM9Y6C,"TZT 23.5"" Portable Laptop Desk,Laptop Stand for Bed with USB Charge Port, Laptop Desk for Bed,Multi-Function Notebook Stand for Working, Reading (Gray)",Amazon Home,high,Laptop keyword: laptop,N/A,"laptop, notebook",N/A
B00MCL8W78,"Macbook Air 13 Case, Dealgadgets Rubberized QuickSand Surface Hard Shell Case Cover for 2014 New Macbook Air 13"" 13.3"" A1369 & A1466 with Silicone Keyboard Cover Skin Stickers Protector QuickSand Red",Computers,high,Laptop keyword: macbook,"lg, macbook, surface",macbook,N/A
B077BZGZ38,"MOSISO Plastic Hard Shell Case & Keyboard Cover & Screen Protector Only Compatible with MacBook Pro 13 inch (A1278, Old Version with CD-ROM), Release Early 2012/2011/2010/2009/2008, Gray",Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B0BXCX5M52,"Fingerprint Proof Screen Cleaner 2PCS, Screen Cleaner Touchscreen Mist Spray for Electronic Smart Phone TV, Laptop, Tablet, PC, Computer Monitor LCD Flat Screens（Black）",Home Audio & Theater,high,Laptop keyword: laptop,N/A,laptop,screen
B08FDJVZHG,"4-Port USB Hub, USB Type C to USB A Hub with 1 USB 3.0 Port,3 USB 2.0 Ports, for MacBook, iMac, Surface Pro, PC, Flash Drive, and More",Computers,high,Laptop keyword: macbook,"macbook, surface",macbook,N/A
B01MXJA2GE,ANTIEE B31N1637 C31N1637 Laptop Battery Replacement for ASUS VivoBook X510 X510U X510UQ X510UA X510UAR X510UF S15 S510U S510UF S510UQ S510UN S510UR S510UA F510 F510U F510UA F510UQ F510QA,Computers,high,Laptop keyword: laptop,"asus, vivobook","laptop, vivobook",N/A
B015XBK5NM,"Acer Aspire V17 Nitro Black Edition VN7-792G-797V 17.3-inch Full HD Notebook (Intel Core i7-6700HQ,16GB, 1TB, Windows 10 Home) Black",Computers,high,Laptop keyword: notebook,acer,notebook,"cpu, os"
B07MZWYGHG,"USB C Hub Adapter for MAC, 2020 Model, Multi-Port Dongle 4K HDMI, Ethernet, USB-C Thunderbolt 3, SD/Micro Card Reader, USB 3.0 - Compatible with MacBook Pro 2016-2020 and MacBook Air 2018-2020",Computers,high,Laptop keyword: macbook,macbook,macbook,screen
B009Z4RGFY,"iPad Mini 3 Case, i-Blason Apple iPad Mini / iPad Mini with Retina Display Case Hard Snap On Slim-Fit Case (Smart Cover Compatible with Smart Cover Anchor Lock) (Clear)",Computers,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B0B7HNDB9J,"Laptop Stand for Bed，Folding Bedtray Table,Notebook,Cup and Phone Holder,Portable Laptop Desk Watching and Eating for Bed,Couch,Floor",Amazon Home,high,Laptop keyword: laptop,N/A,"laptop, notebook",N/A
B00XK8S4IO,"Sony XAV-60 6.1"" inch In-Dash Touchscreen DVD/CD/MP3 Receiver (Discontinued by Manufacturer)",Car Electronics,medium-high,Brand (sony) + Specs (screen),sony,N/A,screen
B077XQBK51,Beelink GT King TV Box Android 9.0 Amlogic S922X Hexa-core G52 MP6 Graphics 4GB DDR4 64GB ROM 2.4G + 5.8G WiFi Bluetooth 4.1 4K 60fps Support 2.4G Voice Remote Control,All Electronics,medium,"Multiple specs: screen, ram",N/A,N/A,"screen, ram"
B0BG4K6J1N,"[Apple MFi Certified] Lightning to HDMI Digital AV Adapter,Compatible with iPhone iPad 1080P Video & Audio Sync Screen Converter AV Adapter with Charging Port for iPhone to HD TV/Projector/Monitor",All Electronics,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B0CBGT33F3,"USB C Docking Station Dual Monitor, 16 in 1 Multiport Adapter Hub with Triple Display (2 HDMI, DP, VGA, 2 PD 100W & 18W, RJ45, USB C&A, SD/TF, Mic/Audio) Compatible for MacBook/Dell/HP/Lenovo Laptops",All Electronics,high,Laptop keyword: laptop,"dell, hp, lenovo, macbook","laptop, macbook",N/A
B01N2VZOTY,10 Pack TrackPoint Keyboard Mouse Red Cap Soft Dome Laptop Pointer for IBM Lenovo ThinkPad,All Electronics,high,Laptop keyword: laptop,"lenovo, thinkpad","laptop, thinkpad",N/A
B08TQYBS82,"WeePro 2 Pack Heavy Duty Suction Cups with 5 PCS LCD Screen Opening Tools, Electronics Repair Tool Kit for Cell Phone, iPad, Watch, Computer, Tablet, PC, Laptop, iPhone, Replacement Screen Repair Tool",All Electronics,high,Laptop keyword: laptop,N/A,laptop,N/A
B07ZYSS2K2,"JSAUX Mini DisplayPort to HDMI Cable 10FT, Thunderbolt 2 to HDMI Mini DP Cord FHD Nylon Braided Gold-Plated Monodirectional for MAC/MacBook Air/Pro, Surface Pro/Dock, Monitor, Projector More-Grey",All Electronics,high,Laptop keyword: macbook,"macbook, surface",macbook,screen
B00GRZD2RU,High Sierra Xbt-Business Laptop Messenger Bag,AMAZON FASHION,high,Laptop keyword: laptop,N/A,"laptop, business laptop",N/A
B073RJWL8P,AC Charger Fit for HP Chromebook 11 G3 G4 G5 EE Spectre x360 741727-001 740015-004 854054-002 854054-003 741553-850 854054-001 Laptop UL Listed Power Cord Supply Adapter,All Electronics,high,Laptop keyword: laptop,"hp, chromebook, spectre","laptop, chromebook",N/A
B07Q1JRKZV,"LINKUP - Surface Pro 6 (5) Compatible SD Card Reader Adapter Hub | 6-in-1 Docking Station | 4K HDMI Gigabit Ethernet SD/Micro SD Card Slots,2X USB-A 3.0 Ports | Designed for Surface Pro 5/6",Computers,medium-high,Brand (surface) + Specs (screen),surface,N/A,screen
B0B3RB748Z,"THE NORTH FACE Sunder Commuter Laptop Backpack, Blue Coral/Reef Waters, One Size",,high,Laptop keyword: laptop,N/A,laptop,N/A
B06Y5VZ5RX,"HKY 12V Universal Power Adapter Charger Compatible with Gateway GWTN141 GWTN116 Laptop,TFT TV Monitor,Asus Eee PC,Breast Pump,TV Box,External Hard Drive,Sony/Philips/Sylvania Portable DVD Player",All Electronics,high,Laptop keyword: laptop,"asus, sony, gateway",laptop,storage
B0BV29L5XS,"Mallbaola Compressed Air Duster, Electric Air Duster 50000RPM Rechargeable, Cordless Air Blower and Vacuum Cleaner 2-in-1 Replaces Compressed Air Cans Canned Air for Cleaning Computer Keyboard Camera",Amazon Home,high,Laptop keyword: 2-in-1,N/A,2-in-1,N/A
B07174KKDN,"RunningSnail Multifunctional 270 Degree Adjustable Mini USB LED Light with Touch Switch for Laptop, Desktop, Power Bank, 2 Pack (Orange)",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B01MT3FZ87,RION TECH 4 Pack Rubber Case Feet with Screws Screwdriver Kit Set for Apple MacBook Pro A1278 A1286 A1297 13 15 17 (Not for Retina Display),Computers,high,Laptop keyword: macbook,"apple, macbook",macbook,screen
B000WHSFYY,"Apple iMac MB324LL/A 20-inch Desktop PC (2.66 GHz Intel Core 2 Duo, 2 GB RAM, 320 GB Hard Drive, DVD/CD SuperDrive) (Discontinued by Manufacturer)",Computers,medium-high,"Brand (apple) + Specs (cpu, storage)",apple,N/A,"cpu, storage"
B0192ZSMOY,"CoolBELL 12.9 Inch iPad Pro Sleeve Case Surface Pro 4 Cover with Elephant Pattern Ultrabook Fabric Sleeve Canvas Bag Exclusive for iPad Pro/Surface Pro 4/Women/Men,Blue",Computers,high,Laptop keyword: ultrabook,"surface, omen",ultrabook,screen
B088CYDR5Z,"USB C Docking Station Dual Monitor, USB C Laptop Docking Station with HDMI, DisplayPort, VGA, 3 USB-A, RJ45, SD/TF, Audio, USB Type C Adapter as A Laptop Stand and Mount",All Electronics,high,Laptop keyword: laptop,N/A,laptop,N/A
B0965C1LXR,"Laptop Camera Cover Slide, 3-Pack Cheap Ultra-Thin 0.03 Inches Webcam Cover for iPhone iPad MacBook iMac Cell Phone, Camera Blocker Slider Great for Privacy (Textured Black)",Computers,high,Laptop keyword: laptop,macbook,"laptop, macbook",N/A
B00WLXPLAS,"AC Adapter Charger for Lenovo G50-80 80E501J5US, 80E501JFUS; Lenovo G50 80E30181US, 80L0000QUS, 80E501B2US Notebook Battery Power Supply Cord Plug",Computers,high,Laptop keyword: notebook,lenovo,notebook,N/A
B085ZQFRKL,Leaper Lightweight Backpack Laptop Backpack College Bags Travel Daypack Black,,high,Laptop keyword: laptop,N/A,laptop,N/A
B06XPY1441,"Cable Matters USB C Multiport Adapter (USB C Dock with USB C to HDMI or USB C to VGA), USB 3.0 and Ethernet Black - Thunderbolt 4 / USB4 / Thunderbolt 3 Port Compatible with MacBook Pro, Dell XPS",Computers,high,Laptop keyword: macbook,"dell, macbook",macbook,N/A
B00A9MZ30Q,"iRulu 7"" Google Android 4.03 OS 5-point Capacitive Multi-Touchscreen Widescreen 4GB Computer Internet Tablet PC (Allwinner A13 1.2 GHZ + GPU Mali 400 MP) 512MB DDR3 Flash Player 11.1 Dual Cameras With G Sensor, Black",Computers,medium,"Multiple specs: cpu, screen",N/A,N/A,"cpu, screen"
B08T1CSSW2,45W AC Charger for Lenovo IdeaPad S145 S340 S540 S150 320 1 3 5 S340-14API S340-14IWL S340-15API S540-14IWL S340-15IIL S540-14API S540-15IWL S145-14API 15AST 15IML05 ADL45WCC Laptop Power Supply Cord,Computers,high,Laptop keyword: laptop,"lenovo, ideapad","laptop, ideapad",N/A
B01HUDUXH4,"HP Pavilion 17.3 Inch High Performance HD Laptop, 5th Intel Core i5-5200u Processor, 8GB RAM, 1TB HDD, Intel HD Graphics 5500, DVD+/-RW, HDMI, Webcam, Windows 10, Silver",Computers,high,Laptop keyword: laptop,"hp, pavilion",laptop,"cpu, screen, os, ram"
B00XQXZWRE,"Dell Inspiron 17 5000 Series HD 17.3 Inch Laptop (Intel Core i7 5500U, 8 GB RAM, 1 TB HDD, Silver) with MaxxAudio",Computers,high,Laptop keyword: laptop,"dell, inspiron",laptop,"cpu, screen"
B0BKK84MMK,"HDMI to VGA Cable, Gold-Plated Computer HDMI to VGA Monitor Cable Adapter 6 Feet Male to MaleCord for Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV, and More (NOT Bidirectional) -1.83M",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B01HCV1PSU,"tomtoc Envelope Sleeve Tablet Carrying Slim Case Felt PU Leather Bag with Accessory Pocket, ONLY fit for 12 inch New MacBook A1534, Classic Brown & Grey",Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B06ZZ7NDTG,"BrovSS: 7 Port USB 3 Splitter - USB 3.0 Powered Hub - USB Hub Charger with 12V 3A 36W Power Adapter with USB Cable for MacBook Air, Mac Mini, iMac, Laptop, PC, USB Flash Drives, HDD Hard Drive (Black)",All Electronics,high,Laptop keyword: laptop,macbook,"laptop, macbook",storage
B07R19CYCR,"VersionTECH. External CD/DVD Drive for Laptop, USB 3.0 Type-C DVD Player Portable CD DVD +/-RW Drive Player CD ROM Burner Writer Compatible for Apple MacBook Pro iMac Laptop Desktop PC Mac OS Windows",Computers,high,Laptop keyword: laptop,"apple, macbook","laptop, macbook",os
B005JALQGI,"GMYLE (TM) Pink Rubberized See Through Hard Shell Snap On Carrying Case Skin Slim Fit for 13 "" Apple Macbook Air - With Pink Protective Keyboard Cover (with 1 Year Warranty from GMYLE) [Fit for 2013 model]",Computers,high,Laptop keyword: macbook,"apple, macbook",macbook,N/A
B00EDOK0YU,"Perfect Life Ideas Bling Computer Mouse and Ballpoint Pen Set - USB Wired Ergonomic Scroll Wheel Mouse with Light for Laptop, Desktop Computers - FCC Approved - Bling Covered. Pink",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B086MHSH2Z,Intel® Pentium Gold G-6400 Desktop Processor 2 Cores 4.0 GHz LGA1200 (Intel® 400 Series chipset) 58W (BX80701G6400),Computers,medium-high,Brand (lg) + Specs (cpu),lg,N/A,cpu
B07X5X4WTY,"HUSAN New A1382 Laptop Battery Compatible with MacBook Pro 15 inch A1286 (only for Early/Late 2011, Mid 2012), fit 661-5844 020-7134-A MC721LL/A MC723LL/A (Black)",All Electronics,high,Laptop keyword: laptop,macbook,"laptop, macbook",N/A
B00DC1OB7W,"Generic 8 Angled Tips Universal Tool Notebook DC Power Adapter Socket Plug Connector 4"" x 1.2"" x 0.4"" Black",Computers,high,Laptop keyword: notebook,N/A,notebook,N/A
B07NSG8W58,"Macally 2.4G USB Wireless Mouse for Laptop and Desktop Computer, Comfortable and Long Range Computer Mouse - Cordless Mouse for Mac, Apple MacBook Pro/Air, Chromebook, or Windows PC - White",All Electronics,high,Laptop keyword: laptop,"apple, chromebook, macbook","laptop, chromebook, macbook",N/A
B06XX2JBNC,"Haitronic Unique 2 in 1 Alligator Clip to Dupont Wire 10pin 20cm Male, Crocodile Clip to Jumper Wire 10pin 20cm Female for Test Lead Arduino/Raspberry pi/Orange pi/Makey Makey/BBC Micro: bit",Computers,high,Laptop keyword: 2 in 1,jumper,2 in 1,N/A
B015XK22H0,"Alienware X51 AX51R3-5510BLK Desktop (6th Generaton Intel Core i7, 8 GB RAM, 2 TB HDD) NVIDIA GTX 960",All Electronics,medium-high,Brand (alienware) + Specs (cpu),alienware,N/A,cpu
B09FRCXSJK,"SAMSUNG S80A Computer Monitor, 27 Inch 4K , Vertical , USB C , HDR10 (1 Billion Colors), Built-in Speakers (LS27A800UNNXZA)",Computers,medium-high,Brand (samsung) + Specs (screen),samsung,N/A,screen
B074L245PR,"Acer Chromebook 11 C771-C4TM, Intel Celeron 3855U, 11.6"" HD IPS Display, 4GB LPDDR3, 32GB eMMC, 802.11ac WiFi, Spill Resistant Keyboard, Military Grade Durability, Google Chrome,Black",Computers,high,Laptop keyword: chromebook,"acer, chromebook",chromebook,"cpu, screen, storage"
B07ZVQXG4B,Willhom M.2 NVME SSD Convert Adapter Card for Upgrade MacBook Air (2013-2017),Computers,high,Laptop keyword: macbook,macbook,macbook,storage
B00K4PATO8,Dell Inspiron i5748-2143sLV 17.3-Inch Laptop,Computers,high,Laptop keyword: laptop,"dell, inspiron",laptop,N/A
B01BIJXYXG,CTA Digital 2-in-1 Flexible Desk Clamp LED Lamp & Mount (PAD-FDC),Computers,high,Laptop keyword: 2-in-1,N/A,2-in-1,N/A
B01GE9R0GC,"Lenovo Tab 3 8, 8'' HD IPS Tablet (MediaTek™ 1.0 GHz Quad-Core, 1GB, 16GB, Android 6.0), Black ZA170001US",Computers,medium-high,Brand (lenovo) + Specs (cpu),lenovo,N/A,cpu
B06Y468MHL,"Power Strip, JF.EGWO Surge Protector with 12 AC Outlets and 3 USB Charging Ports,1875W/15A, 6 Feet Long Extension Cord for Smartphone Tablets Laptop Home, Office, Hotel- Black (1700J Straight Plug)",All Electronics,high,Laptop keyword: laptop,N/A,laptop,N/A
B0C36JK4BG,"SIMODEWA Mini PC - 12TH Intel Alder Lake - N N95 up to 3.4 GHz, 8GB DDR4, 256GB NVMe SSD, Windows 11 Pro, 4K Display Dual HDMI, USB 3.0 * 4, WiFi 5 BT 4.2 for Office and Home Using",Computers,medium,"Multiple specs: cpu, storage, ram, screen, os",N/A,N/A,"cpu, storage, ram, screen, os"
B0734X9R8V,TUBU Large Camera Backpack for Outdoor Hiking Shockproof Waterproof Fit Laptop DSLR Cameras and Gears (Black),Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B0869R7QPK,"USB Computer Microphone Condenser Recording Desktop Mic Plug & Play for PC Laptop Mac PS4 with Mute Button LED Indicator, for YouTube Skype Zoon Conference Gaming Streaming Podcasting Starfavor SUM-10",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B0863NZF2R,"Portable Monitor -Lepow Z1-Gamut 15.6'' FHD Laptop Display [Improved Color Gamut] IPS 1080P Ultra-Slim Type-C & HDMI Second Screen, Dual Speakers, Ideal for Laptops PCs Phones Switch PS4/3 Xbox",Computers,high,Laptop keyword: laptop,N/A,laptop,screen
B01N68XUUU,"AN·GWEL HP PI06 Notebook Battery for HP Pavilion Envy TouchSmart 14 15 17, Fit for 710416-001 710417-001 HSTNN-LB4N HSTNN-LB4O Series [11.1V 4400MAH1]",Computers,high,Laptop keyword: notebook,"hp, pavilion, envy",notebook,N/A
B00RYLI0LE,ZWXJ Notebook Battery 245RR(11.1V 91Wh) for Dell XPS 15 9530 Dell Precision M3800 Laptop 701WJ 7D1WJ T0TRM,All Electronics,high,Laptop keyword: laptop,"dell, precision","laptop, notebook",N/A
B017VP240K,LCDOLED® 15.5 inch FullHD 1080p LED LCD Display Screen Panel Replacement for Acer Aspire E 15 E5-575 Series E5-575G-57D4 E5-575G-53VG E5-575-33BM E5-575G-57A4 E5-575G-55KK (Non-IPS),Computers,medium-high,Brand (acer) + Specs (screen),acer,N/A,screen
B07PNTHTQW,Travel Maps Laptop Stickers Waterproof Car Bicycle Suitcase Computer Water Bottle Mobile Phone Stickers Water Resistant Decals (Travel Maps 100),Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B002KL0VY2,"Frisby Stand Alone Microphone for PC Computer Laptop Notebook, VOIP, w/noise canceling",Computers,high,Laptop keyword: laptop,N/A,"laptop, notebook",N/A
B01M71M6WT,"Night Owl 16-Channel 1080p Security System with 1 TB Hard Drive, 8x 1080p Bullet Cameras, and 100 Night Vision",All Electronics,medium,"Multiple specs: screen, storage",N/A,N/A,"screen, storage"
B017AP21OU,"MOSISO Laptop Shoulder Bag Compatible with 13-13.3 inch MacBook Pro, MacBook Air, Notebook Computer, Denim Briefcase Handbag Sleeve, Light Gray",Computers,high,Laptop keyword: laptop,macbook,"laptop, notebook, macbook",screen
B00RLFHOXS,"CWK New Replacement Laptop Notebook Battery for HP Pavilion G7-1277DX, G7-1279DX, G7-1281NR G7-1365DX, G7-1368DX HP Home 2000-BF69WM 2000T-2B00 HP Pavilion G7-1310US, G7-1311NR, G7-1312NR, G7-1313NR, G7-1314NR HP Compaq CQ42 588178-141 588178-541 593553-001 MU06 MU09 HP Compaq Presario CQ56-148CA CQ56-154CA CQ56z-200 CQ56-104SA HP G56-122US G56-125NR G72-B57CL G72-B61NR G72-B62US G72-C55DX HP Pavilion dv4-1551dx dv4-1555dx dv4-2013la dv4-2014br",Computers,high,Laptop keyword: laptop,"hp, pavilion, compaq","laptop, notebook",N/A
B0B1Q5L6JN,"NEEWER Phone Mount Tablet Mount for Tripod Ring Light, Universal 2 in 1 Tablet Smartphone Holder with Ball Head & Remote Shutter, 2.6""-8.8"" Opening Clamp Compatible with iPad iPhone Samsung Galaxy",Camera & Photo,high,Laptop keyword: 2 in 1,samsung,2 in 1,N/A
B01N19UKLE,"2 in 1 Lightning to 3.5mm Audio Adapter, ADABUNNY Lightning Charger, Lightning to 3.5mm Aux Headphone Jack Adapter for iPhone 7/7 Plus [No Calling Function and No Music Control] (2 in 1-Rose Gold)",Cell Phones & Accessories,high,Laptop keyword: 2 in 1,N/A,2 in 1,N/A
B08B7SNV3B,"MIMODAY USB Camera (30fps) 1080P for Computer / Laptop / Desktop , 360° Rotatable Plug&Play USB Webcam with Dual Built-in Noise-Reducing Microphones, Auto Low Light Correction, Video Web Camera",Computers,high,Laptop keyword: laptop,N/A,laptop,screen
B07DX685VV,"Purgo USB C Hub Adapter Dongle for MacBook 12-Inch, MacBook Air/Pro 2018, iPad Pro 2018 and More with 4K HDMI, USB-C Charging, 2 USB 3.0 and SD/Micro Card Readers.",All Electronics,high,Laptop keyword: macbook,macbook,macbook,screen
B01GTPT8IO,"RICOV Ultimate 3-in-1 Mini DP (Thunderbolt) to 4K HDMI, DVI, VGA Adapter, Compact 1080p Mini Display (mDP) Converter for MacBook Air, MacBook Pro, iMac, iMac Mini, Surface Pro Series, Glossy White",Computers,high,Laptop keyword: macbook,"macbook, surface",macbook,screen
B007I853KO,"TOP CASE - 2 in 1 Signature Bundle Rubberized Hard Case and Keyboard Cover Compatible Old Generation MacBook Pro 13"" with DVD Drive/CD-ROM Model: A1278 - Yellow",Computers,high,Laptop keyword: macbook,macbook,"macbook, 2 in 1",N/A
B07L55LSFC,"Portable Car Cooling Fan, Auto Electronic Heater Fan Fast Heating Defrost 12V 150W Car Heater, Plug Adjustable Thermostat in Cigarette Lighter, 2 in 1 Heating/Cooling Function 3-Outlet Car Heater",All Electronics,high,Laptop keyword: 2 in 1,N/A,2 in 1,N/A
B0BDVQJHP2,Lenovo 300 FHD Webcam,Computers,medium-high,Brand (lenovo) + Specs (screen),lenovo,N/A,screen
B00FIOLMWS,Swivel Laptop Stand: adjustable height rotating desktop computer riser for notebooks under 15”. Portable ergonomic macbook pro computer cooler cooling black,Office Products,high,Laptop keyword: laptop,macbook,"laptop, notebook, macbook",N/A
B00VAKDBK0,"Laptop Sleeve 17"" Waterproof Laptop Bag, Protective Drop-Proof Case for Macbooks, Notebooks, or Ultrabooks, Slim with Handles & Extra Storage Pocket.",Computers,high,Laptop keyword: laptop,macbook,"laptop, notebook, ultrabook, macbook",N/A
B0C18D24G9,"ECOHERO 2023 Laptop, 14"" 1920x1080 FHD IPS Screen, 12GB DDR4 RAM/256GB NVMe SSD, Intel N5095 Quad Core, Windows 11 laptops Computers, 2.4G/5G WiFi, Bluetooth 4.2, Support Type c PD3.0 Fast Charging",Computers,high,Laptop keyword: laptop,N/A,laptop,"storage, os, screen, ram"
B01EILWBO4,"TOP CASE - 2 in 1 Signature Bundle Rubberized Hard Case and Keyboard Cover ONLY Compatible MacBook Air 13"" A1369 & A1466 (Older Version, Release 2010-2017) - Royal Blue",Computers,high,Laptop keyword: macbook,macbook,"macbook, 2 in 1",N/A
B001TH7F7O,Dell Inspiron Mini IM10-2863 10.1-Inch Obsidian Black Netbook,Computers,high,Laptop keyword: netbook,"dell, inspiron",netbook,N/A
B0031WRG56,Panasonic DMREH59GAK 250GB HDD Multi Region DVD Recorder (Black),All Electronics,medium-high,Brand (panasonic) + Specs (storage),panasonic,N/A,storage
B00NJHHHWK,Rosewill 15.6-Inch Notebook Computer Backpack (RMBP-11001),Computers,high,Laptop keyword: notebook,N/A,notebook,N/A
B00SAZA1LA,"HAVIT HV-F2060 14""-15.4"" Laptop Cooler Cooling Pad with Adjustable Wind Speed (6 Fans )",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B0B5WJLMV4,2-Way AV Switch RCA Switcher 2 in 1 Out Composite Video L/R Stereo Audio Selector Box for DVD STB Game Consoles -V21,All Electronics,high,Laptop keyword: 2 in 1,N/A,2 in 1,N/A
B0BQ333GP7,intendvision External CD DVD Drive USB 3.0 Portable Fits for DVD-R DVD-RW DVD+R DVD+RW DVD-ROM Super Speed Data Transfer Black for PC Laptop Computer Windows 11/10/8/7,Computers,high,Laptop keyword: laptop,N/A,laptop,os
B0028MKK0S,Asus P6T SE Core i7 / Intel X58/ DDR3/ CrossFireX/ A&GbE/ ATX Motherboard,All Electronics,medium-high,Brand (asus) + Specs (cpu),asus,N/A,cpu
B09B3LDWZW,170W AC Adapter Charger Compatible with Lenovo Thinkpad P1 P50 P51 P52 P53 P70 P15 P17 T15g W540 W541 T540p ADL170NDC2A ADL170NDC3A ADL170NLC3A Extreme Legion Y540 Y530 Y720 Y730 Power Supply Cord,Computers,high,Laptop keyword: thinkpad,"lenovo, thinkpad",thinkpad,N/A
B08J2787PX,"Keyboard Cover for Asus TUF F15, TUF A15 TUF506 TUF506IV TUF506IU FA506 FA506IH FA506II, TUF F17 FX706 FX706LI, TUF A17 TUF706 TUF706IU TUF706IH Series Gaming Laptop - TPU",All Electronics,high,Laptop keyword: laptop,asus,"laptop, gaming laptop",N/A
B0725QM744,SUNMALL Keyboard Replacement Compatible with HP Pavilion dv6-1000 DV6-1100 dv6-1200 DV6-1300 DV6-2000 DV6-2100 DV6Z-1100 DV6T-1200 DV6T-2000 DV6Z-2000 Series Laptop Black US Layout,Computers,high,Laptop keyword: laptop,"hp, pavilion",laptop,N/A
B07D37VBVD,"Razer Blade 15: World's Smallest 15.6"" Gaming Laptop - 144Hz Full HD Thin Bezel - 8th Gen Intel Core i7-8750H 6 Core - NVIDIA GeForce GTX 1070 Max-Q - 16GB RAM - 512GB SSD - Windows 10 - CNC Aluminum",Computers,high,Laptop keyword: laptop,razer,"laptop, gaming laptop","storage, cpu, os, ram"
B0BRMMN3B7,"Satechi Slim X3 Bluetooth Backlit Keyboard with Numeric Keypad – Illuminated Keys & Multi-Device Sync – Compatible with 2022 MacBook Pro/Air M2, 2021 MacBook Pro M1 Pro & Max, 2021 iMac, 2020 Mac Mini",Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B0074FGWJC,Samsung UN60EH6000 60-Inch 1080p 120Hz LED HDTV (Black) (2012 Model),All Electronics,medium-high,Brand (samsung) + Specs (screen),samsung,N/A,screen
B001E5Q8OW,"FL488AWABA - HP EliteBook 6930p Notebook Intel Centrino Pro Core 2 Duo P8600 2.40 GHz - 14.10 WXGA - 2 GB DDR2 SDRAM - 160 GB HDD - DVD-Writer (DVD-RAM/R/RW) - Wi-Fi, Gigabit Ethernet, Bluetooth - Windows Vista Business",All Electronics,high,Laptop keyword: notebook,"hp, elitebook",notebook,cpu
B0C8NP3ZSK,"[Apple MFi Certified] Lightning to HDMI Digital AV Adapter, 5 FT HDTV Cable Compatible with iPhone, iPad, iPod 1080P Digital AV Sync Screen Connector on HDTV Monitor Projector-NO Need Power Supply",Industrial & Scientific,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B07TM1QGLF,"2019 Newest Dell Inspiron Premium Desktop: Latest 9th gen Intel Six-Core i5-9400, 12GB Ram, 128GB SSD + 1TB HDD Dual Drive, WiFi, Bluetooth, DVDRW, HDMI, VGA, USB Keyboard and Mouse, Windows 10 Home",Computers,medium-high,"Brand (dell) + Specs (storage, cpu, os, ram)","dell, inspiron",N/A,"storage, cpu, os, ram"
B08DCNRTC7,"TENMOS T56 Wireless Gaming Mouse, 2.4GHz Rechargeable Optical LED Computer Mouse with Nano USB Receiver, Silent Click, Compatible with PC/Laptop/Notebook (Red)",All Electronics,high,Laptop keyword: laptop,N/A,"laptop, notebook",N/A
B07PW96NTV,"WELL WENG Bamboo 2-TIier Monitor Riser with Adjustable Storage Organizer Desktop Stand for iMac,Printer,Notebook,Xbox one,PS4 (MR3-SG)",All Electronics,high,Laptop keyword: notebook,N/A,notebook,N/A
B07Y546VYB,"iArkPower 4K x 2K 3 Port 3 x 1 HDMI Switch, 4K@60Hz HDMI Splitter Hub Port with IR Remote, Support Auto-Switch, HDR, HDCP 2.2, Dolby Vision, 1080P/3D, Compatible with PS4 Xbox Apple TV Fire Stick",All Electronics,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B08BHLSKH2,"RCA to HDMI, AV to HDMI Converter, Composite CVBS to HDMI Video Audio Converter Adapter, Support PAL/NTSC with USB Charge Cable for PC Laptop Xbox N64 PS3 TV STB VHS VCR Camera DVD",All Electronics,high,Laptop keyword: laptop,N/A,laptop,N/A
B007QEF2KQ,"HP PAVILION DV8000, DV9000, DV9620US, ZD8000 LAPTOP LCD REPLACEMENT SCREEN 17"" WXGA+ CCFL (GLOSSY)",Computers,high,Laptop keyword: laptop,"hp, pavilion",laptop,N/A
B095NRSXNM,"Ankky USB to HDMI Adapter Cable for Mac OS Windows 10/8/7/Vista/XP, USB 3.0 to HDMI Male HD 1080P Monitor Display Audio Video Converter Cord 6.6FT/2M",All Electronics,medium,"Multiple specs: os, screen",N/A,N/A,"os, screen"
B017R90K9M,"TWYZONE Adapter Card to M.2 NGFF X4 for 2013 2014 2015 Apple MacBook Air A1465 A1466, PRO Retina A1398 A1502 A1425 SSD",Computers,high,Laptop keyword: macbook,"apple, macbook",macbook,"screen, storage"
