category,type,direct_products,subtree_products,num_children,pct_direct
Cassette Players & Recorders,TRUE_LEAF,148,148,0,100.0
Gender Changers,TRUE_LEAF,147,147,0,100.0
DVD Recorders,TRUE_LEAF,147,147,0,100.0
Internal Sound Cards,TRUE_LEAF,146,146,0,100.0
Mounting Hardware,TRUE_LEAF,145,145,0,100.0
Preamplifiers,TRUE_LEAF,143,143,0,100.0
Light Meters & Accessories,INTERMEDIATE,9,140,3,6.428571428571429
Background Support Equipment,TRUE_LEAF,137,137,0,100.0
Screens,TRUE_LEAF,135,135,0,100.0
Filter Accessories,INTERMEDIATE,10,135,3,7.407407407407407
TV Mount Stands,TRUE_LEAF,134,134,0,100.0
DVD+R,TRUE_LEAF,134,134,0,100.0
Analog-to-Digital (DTV) Converters,TRUE_LEAF,133,133,0,100.0
Blank Video Media,INTERMEDIATE,5,132,4,3.787878787878788
Car Dash Mounting Kits,TRUE_LEAF,128,128,0,100.0
Computer Vacuums,TRUE_LEAF,127,127,0,100.0
Speaker Installation,INTERMEDIATE,21,127,6,16.53543307086614
Cassette Player Adapters,TRUE_LEAF,126,126,0,100.0
Capacitors,TRUE_LEAF,124,124,0,100.0
CD & Tape Players,INTERMEDIATE,5,124,3,4.032258064516129
TV-DVD Combos,TRUE_LEAF,123,123,0,100.0
Aircraft Accessories,TRUE_LEAF,122,122,0,100.0
Quadcopter Camera Mounts,TRUE_LEAF,121,121,0,100.0
Serial Cables,TRUE_LEAF,118,118,0,100.0
Armbands,TRUE_LEAF,118,118,0,100.0
Speaker Systems,TRUE_LEAF,117,117,0,100.0
Camera Battery & Charger Sets,TRUE_LEAF,115,115,0,100.0
Sync & PC Cords,TRUE_LEAF,113,113,0,100.0
TV Display Protectors,TRUE_LEAF,112,112,0,100.0
Extension Tubes,TRUE_LEAF,109,109,0,100.0
Equalizers,TRUE_LEAF,109,109,0,100.0
Firewire Cables,TRUE_LEAF,107,107,0,100.0
Devices,TRUE_LEAF,107,107,0,100.0
Camcorder Bundles,TRUE_LEAF,105,105,0,100.0
Silicon Grease,TRUE_LEAF,105,105,0,100.0
Effects Filters,TRUE_LEAF,104,104,0,100.0
Cameras,TRUE_LEAF,101,101,0,100.0
Cycling GPS Units,TRUE_LEAF,100,100,0,100.0
Cooling Fans,TRUE_LEAF,99,99,0,100.0
eBook Readers,TRUE_LEAF,99,99,0,100.0
Camera Sliders,TRUE_LEAF,99,99,0,100.0
Screen Filters,TRUE_LEAF,98,98,0,100.0
Posing Props,TRUE_LEAF,97,97,0,100.0
Connecting Blocks,TRUE_LEAF,97,97,0,100.0
Amplifier Wiring Kits,TRUE_LEAF,95,95,0,100.0
Desktop Barebones,TRUE_LEAF,95,95,0,100.0
Anti-Glare & Privacy Filters,TRUE_LEAF,94,94,0,100.0
Sandbags,TRUE_LEAF,91,91,0,100.0
Cord Reels,TRUE_LEAF,90,90,0,100.0
Speaker Grills,TRUE_LEAF,90,90,0,100.0
Darkroom Supplies,INTERMEDIATE,11,89,5,12.359550561797754
Compound Microscopes,INTERMEDIATE,1,88,3,1.1363636363636365
Power Adapters,TRUE_LEAF,87,87,0,100.0
Cloths,TRUE_LEAF,87,87,0,100.0
CD Players,TRUE_LEAF,87,87,0,100.0
Laptop Network Adapters,TRUE_LEAF,86,86,0,100.0
PDUs,TRUE_LEAF,86,86,0,100.0
Print Servers,TRUE_LEAF,86,86,0,100.0
Internet Radios,TRUE_LEAF,85,85,0,100.0
Digital-Analog Converters,TRUE_LEAF,85,85,0,100.0
DVD-VCR Combos,TRUE_LEAF,85,85,0,100.0
Security Locks,TRUE_LEAF,83,83,0,100.0
Marine Speakers,TRUE_LEAF,83,83,0,100.0
Access-Control Keypads,TRUE_LEAF,83,83,0,100.0
Noise Filters,TRUE_LEAF,82,82,0,100.0
3P ASINs 1500,TRUE_LEAF,82,82,0,100.0
Tripod & Monopod Cases,TRUE_LEAF,80,80,0,100.0
QLED TVs,TRUE_LEAF,80,80,0,100.0
Memory Stick Cards,TRUE_LEAF,79,79,0,100.0
RAID Controllers,TRUE_LEAF,79,79,0,100.0
Grills,TRUE_LEAF,78,78,0,100.0
Simulated Cameras,TRUE_LEAF,78,78,0,100.0
Modem Router Combos,TRUE_LEAF,77,77,0,100.0
Microcassette Recorders,TRUE_LEAF,77,77,0,100.0
Headsets & Intercoms,TRUE_LEAF,77,77,0,100.0
Tweeters,TRUE_LEAF,76,76,0,100.0
Printers & Scanners,INTERMEDIATE,1,76,1,1.3157894736842106
Portable Photo Printers,TRUE_LEAF,75,75,0,100.0
Television Replacement Parts,TRUE_LEAF,75,75,0,100.0
BD-R,TRUE_LEAF,74,74,0,100.0
Rain Covers,TRUE_LEAF,74,74,0,100.0
Surveillance Systems,TRUE_LEAF,74,74,0,100.0
Calculator Accessories,TRUE_LEAF,74,74,0,100.0
Internal Blu-ray Drives,TRUE_LEAF,72,72,0,100.0
SCSI Port Cards,TRUE_LEAF,72,72,0,100.0
Component Speakers,TRUE_LEAF,71,71,0,100.0
Floppy & Tape Drives,TRUE_LEAF,71,71,0,100.0
Security Monitors & Displays,TRUE_LEAF,71,71,0,100.0
Light Meters,TRUE_LEAF,70,70,0,100.0
Touch Pads,TRUE_LEAF,70,70,0,100.0
Marine GPS Chartplotters,TRUE_LEAF,70,70,0,100.0
Home Audio Crossovers & Parts,INTERMEDIATE,20,69,1,28.985507246376812
Binocular Accessories,TRUE_LEAF,67,67,0,100.0
Camcorder Battery & Charger Sets,TRUE_LEAF,67,67,0,100.0
Glasses,TRUE_LEAF,67,67,0,100.0
Power-Cable Terminals,TRUE_LEAF,67,67,0,100.0
Step-Up Rings,TRUE_LEAF,66,66,0,100.0
Reading Lights,TRUE_LEAF,65,65,0,100.0
External TV Tuners,TRUE_LEAF,64,64,0,100.0
Trackballs,TRUE_LEAF,63,63,0,100.0
PC Gaming,INTERMEDIATE,1,63,1,1.5873015873015872
Head Cleaners,TRUE_LEAF,62,62,0,100.0
Portable & Handheld TVs,TRUE_LEAF,62,62,0,100.0
Mounting Accessories,INTERMEDIATE,4,62,2,6.451612903225806
Adapter Rings,TRUE_LEAF,61,61,0,100.0
Gaming Monitors,TRUE_LEAF,61,61,0,100.0
Graphics Card Fans,TRUE_LEAF,61,61,0,100.0
Biometrics,TRUE_LEAF,61,61,0,100.0
Servers,TRUE_LEAF,61,61,0,100.0
Digital Media Receivers,TRUE_LEAF,60,60,0,100.0
Radio Scanners,TRUE_LEAF,59,59,0,100.0
Marine Two-Way Radios,TRUE_LEAF,58,58,0,100.0
Open-Ear Headphones,TRUE_LEAF,58,58,0,100.0
VHS,TRUE_LEAF,58,58,0,100.0
Tripod Mount Rings,TRUE_LEAF,57,57,0,100.0
Flex Cables,TRUE_LEAF,57,57,0,100.0
Battery Packs,TRUE_LEAF,57,57,0,100.0
Skins,TRUE_LEAF,57,57,0,100.0
Surveillance Camera Lenses,TRUE_LEAF,56,56,0,100.0
Dual-Channel Amplifiers,TRUE_LEAF,56,56,0,100.0
MiniDV,TRUE_LEAF,56,56,0,100.0
Car Headphones,TRUE_LEAF,56,56,0,100.0
Follow-Focus Levers,TRUE_LEAF,56,56,0,100.0
Surveillance NVR Kits,TRUE_LEAF,55,55,0,100.0
Isolation Transformers,TRUE_LEAF,53,53,0,100.0
OLED TVs,TRUE_LEAF,53,53,0,100.0
Enclosed Subwoofer Systems,TRUE_LEAF,53,53,0,100.0
Protection Plans,TRUE_LEAF,53,53,0,100.0
CD & DVD Racks,INTERMEDIATE,6,53,1,11.320754716981131
Compound Monocular Microscopes,TRUE_LEAF,52,52,0,100.0
Satellite Speakers,TRUE_LEAF,52,52,0,100.0
Lens Supports,TRUE_LEAF,51,51,0,100.0
FireWire Port Cards,TRUE_LEAF,51,51,0,100.0
Cable Security Devices,TRUE_LEAF,51,51,0,100.0
Caller ID Displays,TRUE_LEAF,51,51,0,100.0
Subwoofer,TRUE_LEAF,51,51,0,100.0
Spikes,TRUE_LEAF,51,51,0,100.0
Disc Duplicators,TRUE_LEAF,50,50,0,100.0
Stereo Microscopes,TRUE_LEAF,49,49,0,100.0
Crossover Parts,TRUE_LEAF,49,49,0,100.0
Marine GPS Accessories,TRUE_LEAF,49,49,0,100.0
Video Transmission Systems,TRUE_LEAF,49,49,0,100.0
Teleprompters,TRUE_LEAF,48,48,0,100.0
Finder Scopes,TRUE_LEAF,48,48,0,100.0
Disc Repair Kits,TRUE_LEAF,48,48,0,100.0
Underwater Lighting,INTERMEDIATE,14,48,3,29.166666666666668
CD Racks,TRUE_LEAF,47,47,0,100.0
S-Video Cables,TRUE_LEAF,46,46,0,100.0
Distribution Panels,TRUE_LEAF,46,46,0,100.0
Chargers,TRUE_LEAF,46,46,0,100.0
VCRs,TRUE_LEAF,46,46,0,100.0
Video Glasses,TRUE_LEAF,45,45,0,100.0
Filter Cases,TRUE_LEAF,45,45,0,100.0
Wireless Multiroom Systems,TRUE_LEAF,45,45,0,100.0
Media Storage,INTERMEDIATE,4,45,1,8.88888888888889
Smart Clip Accessories,TRUE_LEAF,44,44,0,100.0
DVD-RW,TRUE_LEAF,44,44,0,100.0
Cell Phone Headsets,TRUE_LEAF,43,43,0,100.0
Component Cables,TRUE_LEAF,43,43,0,100.0
Camera Shoulder Supports,TRUE_LEAF,43,43,0,100.0
Disc Cleaners,TRUE_LEAF,43,43,0,100.0
Tripod Legs,TRUE_LEAF,43,43,0,100.0
Electronics Gift Guide - Top Tech for Gifting,INTERMEDIATE,4,43,1,9.30232558139535
IR Illuminators,TRUE_LEAF,42,42,0,100.0
SLR Cameras,TRUE_LEAF,42,42,0,100.0
Thermal Pads,TRUE_LEAF,42,42,0,100.0
Media Storage Sleeves,TRUE_LEAF,41,41,0,100.0
Satellite Dishes,TRUE_LEAF,40,40,0,100.0
Film Processing Equipment,TRUE_LEAF,40,40,0,100.0
Gaming Mice,INTERMEDIATE,11,40,2,27.5
Mini-SAS Cables,TRUE_LEAF,38,38,0,100.0
Serial Port Cards,TRUE_LEAF,38,38,0,100.0
Battery Wiring & Terminals,TRUE_LEAF,37,37,0,100.0
Mobile Broadband Devices,TRUE_LEAF,37,37,0,100.0
Grey Cards,TRUE_LEAF,37,37,0,100.0
"FREE One-Day Shipping in TV, Video & Audio with your Citi Card",TRUE_LEAF,36,36,0,100.0
Catadioptric,TRUE_LEAF,36,36,0,100.0
3P ASINs 1400,TRUE_LEAF,36,36,0,100.0
Speaker Wire Connectors,TRUE_LEAF,36,36,0,100.0
Gifts for Grads,INTERMEDIATE,7,36,1,19.444444444444443
Cat 5 Cables,TRUE_LEAF,35,35,0,100.0
Data Cartridges,TRUE_LEAF,35,35,0,100.0
Electronics & Wireless Outlet,TRUE_LEAF,35,35,0,100.0
Archival Boxes,TRUE_LEAF,34,34,0,100.0
Gaming Keyboards,INTERMEDIATE,5,34,2,14.705882352941176
"Slide, Negative & Print Pages",TRUE_LEAF,33,33,0,100.0
Shower Radios,TRUE_LEAF,33,33,0,100.0
Styluses,TRUE_LEAF,32,32,0,100.0
xD-Picture Cards,TRUE_LEAF,31,31,0,100.0
Modem Cables,TRUE_LEAF,31,31,0,100.0
Infrared Filters,TRUE_LEAF,31,31,0,100.0
Marine Stereos,TRUE_LEAF,30,30,0,100.0
Speaker Wire,TRUE_LEAF,30,30,0,100.0
Bags,TRUE_LEAF,29,29,0,100.0
Satellite Finders,TRUE_LEAF,29,29,0,100.0
Color Correction & Compensation Filters,TRUE_LEAF,29,29,0,100.0
Satellite Dish Mounts,TRUE_LEAF,29,29,0,100.0
Headphones,TRUE_LEAF,29,29,0,100.0
Line Conditioners,TRUE_LEAF,29,29,0,100.0
Amazon Cloud Drive T&C Offer,TRUE_LEAF,28,28,0,100.0
Portfolios,TRUE_LEAF,28,28,0,100.0
All,TRUE_LEAF,27,27,0,100.0
Single-Use Cameras,TRUE_LEAF,27,27,0,100.0
Point & Shoot Film Cameras,TRUE_LEAF,26,26,0,100.0
Electronics International Versions,TRUE_LEAF,26,26,0,100.0
Computer Equipment Warranties,TRUE_LEAF,26,26,0,100.0
Continuous Lights,TRUE_LEAF,26,26,0,100.0
Tape Decks,TRUE_LEAF,26,26,0,100.0
Trucking GPS,TRUE_LEAF,26,26,0,100.0
OtterBox Brand Store,TRUE_LEAF,25,25,0,100.0
CD-RW,TRUE_LEAF,25,25,0,100.0
Fuse Holders,TRUE_LEAF,25,25,0,100.0
Body Mounted Cameras,TRUE_LEAF,25,25,0,100.0
Razer,TRUE_LEAF,25,25,0,100.0
Projector Bags & Cases,TRUE_LEAF,24,24,0,100.0
Barlow Lenses,TRUE_LEAF,24,24,0,100.0
LCD Displays,TRUE_LEAF,24,24,0,100.0
Dew Caps,TRUE_LEAF,24,24,0,100.0
PS/2 Cables,TRUE_LEAF,24,24,0,100.0
Color Calibration Charts,TRUE_LEAF,24,24,0,100.0
Speaker Wiring Harnesses,TRUE_LEAF,24,24,0,100.0
Marine Antennas,TRUE_LEAF,23,23,0,100.0
Wearable Technology: Running Watches & Devices,TRUE_LEAF,23,23,0,100.0
Bundles,TRUE_LEAF,23,23,0,100.0
PC Part Finder,TRUE_LEAF,22,22,0,100.0
Telescope Cases,TRUE_LEAF,22,22,0,100.0
Composite Cables,TRUE_LEAF,21,21,0,100.0
Parallel Port Cards,TRUE_LEAF,21,21,0,100.0
Grill Cloth,TRUE_LEAF,21,21,0,100.0
Camcorder Lenses,TRUE_LEAF,20,20,0,100.0
Compound Binocular Microscopes,TRUE_LEAF,19,19,0,100.0
External Cooling Fans,TRUE_LEAF,19,19,0,100.0
Matte Boxes,TRUE_LEAF,19,19,0,100.0
Floppy Diskettes,TRUE_LEAF,19,19,0,100.0
Adzinia CE Node,TRUE_LEAF,19,19,0,100.0
Parallel Cables,TRUE_LEAF,19,19,0,100.0
"FREE Two-Day Shipping in Camera, Photo & Video",TRUE_LEAF,19,19,0,100.0
DATs,TRUE_LEAF,19,19,0,100.0
Pyle,TRUE_LEAF,18,18,0,100.0
Chemicals,TRUE_LEAF,18,18,0,100.0
Barn Doors,TRUE_LEAF,18,18,0,100.0
Motor Drives,TRUE_LEAF,18,18,0,100.0
Installation Services,TRUE_LEAF,18,18,0,100.0
Marine Amplifiers,TRUE_LEAF,17,17,0,100.0
Gifts,TRUE_LEAF,17,17,0,100.0
RF Modulators,TRUE_LEAF,17,17,0,100.0
Electronics Top Holiday Deals,TRUE_LEAF,17,17,0,100.0
Traffic Message Channel (TMC) Receiver Modules,TRUE_LEAF,17,17,0,100.0
Computers Low Return Rate Alert,TRUE_LEAF,17,17,0,100.0
Amazon Locker Eligible Camera Products,TRUE_LEAF,16,16,0,100.0
Carpet & Vinyl,TRUE_LEAF,16,16,0,100.0
Internal Memory Card Readers,TRUE_LEAF,16,16,0,100.0
Tabletop & Travel Tripods,TRUE_LEAF,16,16,0,100.0
Compound Trinocular Microscopes,TRUE_LEAF,16,16,0,100.0
Firewire Adapters,TRUE_LEAF,16,16,0,100.0
V4 Customers Keep It - 30%,TRUE_LEAF,15,15,0,100.0
Compressed Air,TRUE_LEAF,15,15,0,100.0
Heat-Shrink Tubing,TRUE_LEAF,15,15,0,100.0
Flash Tubes,TRUE_LEAF,15,15,0,100.0
Minidisc Players,TRUE_LEAF,14,14,0,100.0
LifeProof Brand Store,TRUE_LEAF,14,14,0,100.0
Wireless,TRUE_LEAF,14,14,0,100.0
20-25.9 Inches,TRUE_LEAF,14,14,0,100.0
Discover Holiday - MP3 & Media Players,TRUE_LEAF,14,14,0,100.0
BD-RE,TRUE_LEAF,14,14,0,100.0
Tuners,TRUE_LEAF,14,14,0,100.0
Step-Down Rings,TRUE_LEAF,14,14,0,100.0
Other Accessories,TRUE_LEAF,13,13,0,100.0
Brushes,TRUE_LEAF,13,13,0,100.0
Drone Store | Accessories,TRUE_LEAF,13,13,0,100.0
Amazon Devices,INTERMEDIATE,3,13,2,23.076923076923077
Slaves,TRUE_LEAF,12,12,0,100.0
SmartMedia Cards,TRUE_LEAF,12,12,0,100.0
VCR Rewinders,TRUE_LEAF,12,12,0,100.0
Connectivity,TRUE_LEAF,12,12,0,100.0
V4 Customers Keep It - 50%,TRUE_LEAF,12,12,0,100.0
Bluetooth Speakers,TRUE_LEAF,12,12,0,100.0
Cell Phones & Accessories,TRUE_LEAF,12,12,0,100.0
Power Cables,TRUE_LEAF,12,12,0,100.0
Interconnect Cables,TRUE_LEAF,12,12,0,100.0
Phono Preamps,TRUE_LEAF,12,12,0,100.0
Computers & Accessories Overstock Event,INTERMEDIATE,2,12,2,16.666666666666668
Heavy Items,TRUE_LEAF,11,11,0,100.0
Camera Cranes,TRUE_LEAF,11,11,0,100.0
Rings,TRUE_LEAF,10,10,0,100.0
Professional Video Cameras,TRUE_LEAF,10,10,0,100.0
Mad Catz,TRUE_LEAF,10,10,0,100.0
Video Multiplexers & Quads,TRUE_LEAF,10,10,0,100.0
TV Turntables,TRUE_LEAF,10,10,0,100.0
Graduated Color Filters,TRUE_LEAF,10,10,0,100.0
Diopters,TRUE_LEAF,10,10,0,100.0
2014,TRUE_LEAF,10,10,0,100.0
Aviation GPS,TRUE_LEAF,10,10,0,100.0
Bestselling Renewed Smartphones,TRUE_LEAF,10,10,0,100.0
Parallel Adapters,TRUE_LEAF,10,10,0,100.0
Discover Holiday - TV & Video,TRUE_LEAF,10,10,0,100.0
Photo Enlarging Paper,TRUE_LEAF,9,9,0,100.0
Flat Ribbon Cables,TRUE_LEAF,9,9,0,100.0
Nexus Tablet Accessories,TRUE_LEAF,9,9,0,100.0
Hi-8,TRUE_LEAF,9,9,0,100.0
Electronic Flashes,TRUE_LEAF,9,9,0,100.0
Wireless Jack Systems,TRUE_LEAF,9,9,0,100.0
Stylus Pens,TRUE_LEAF,9,9,0,100.0
External Zip Drives,TRUE_LEAF,9,9,0,100.0
Camera Chest Supports,TRUE_LEAF,8,8,0,100.0
Opera Glasses,TRUE_LEAF,8,8,0,100.0
TV Tuners,TRUE_LEAF,8,8,0,100.0
Amazon Pro Portal,TRUE_LEAF,8,8,0,100.0
FREE One Day Shipping with Citi-Electronics On the Go,TRUE_LEAF,8,8,0,100.0
DVD+RW,TRUE_LEAF,8,8,0,100.0
Tech Accessories,TRUE_LEAF,8,8,0,100.0
Diagonals,TRUE_LEAF,8,8,0,100.0
Marine Subwoofers,TRUE_LEAF,8,8,0,100.0
Hero Quick Promotion,TRUE_LEAF,8,8,0,100.0
Computer & Tablet Accessories,TRUE_LEAF,8,8,0,100.0
VTR Decks,TRUE_LEAF,8,8,0,100.0
All Canon,TRUE_LEAF,8,8,0,100.0
High-Tech Stocking Stuffers,TRUE_LEAF,8,8,0,100.0
USB 2.0,TRUE_LEAF,8,8,0,100.0
Port Tubes,TRUE_LEAF,8,8,0,100.0
DLT Cleaning Cartridges,TRUE_LEAF,8,8,0,100.0
Amazon Device Accessories under $20,TRUE_LEAF,8,8,0,100.0
Copying Equipment,TRUE_LEAF,8,8,0,100.0
Shooting Tables,TRUE_LEAF,8,8,0,100.0
Phone Cards,TRUE_LEAF,8,8,0,100.0
iPhone Cases,TRUE_LEAF,8,8,0,100.0
Portable Audio & Accessories Holiday Deals,TRUE_LEAF,8,8,0,100.0
Social Photography,TRUE_LEAF,8,8,0,100.0
FREE One-Day Shipping on Select Electronics with your Discover Card,TRUE_LEAF,8,8,0,100.0
Cool & Quirky Tech Accessories,TRUE_LEAF,7,7,0,100.0
Scosche,TRUE_LEAF,7,7,0,100.0
Computers,TRUE_LEAF,7,7,0,100.0
Camera & Camcorder Lens Bundles,TRUE_LEAF,7,7,0,100.0
MiniDiscs,TRUE_LEAF,7,7,0,100.0
Surveillance Accessories,TRUE_LEAF,7,7,0,100.0
iPad,TRUE_LEAF,7,7,0,100.0
Handheld CB Radios,TRUE_LEAF,7,7,0,100.0
Radar Systems,TRUE_LEAF,7,7,0,100.0
Power Supplies & Chargers,TRUE_LEAF,7,7,0,100.0
Loupes,TRUE_LEAF,7,7,0,100.0
Guiders & Wedges,TRUE_LEAF,7,7,0,100.0
Slide Projectors,TRUE_LEAF,7,7,0,100.0
Mounting Brackets,TRUE_LEAF,7,7,0,100.0
TV on the Go,TRUE_LEAF,7,7,0,100.0
Smart Home Security & Lighting,INTERMEDIATE,1,7,4,14.285714285714286
Speaker Boxes,TRUE_LEAF,6,6,0,100.0
PC & Camera Outlet,TRUE_LEAF,6,6,0,100.0
Wearable Technology 1.0,TRUE_LEAF,6,6,0,100.0
Electronics Emergency Preparedness,TRUE_LEAF,6,6,0,100.0
Multifunction Devices,TRUE_LEAF,6,6,0,100.0
Handles,TRUE_LEAF,6,6,0,100.0
USB Beverage Warmers,TRUE_LEAF,6,6,0,100.0
"Deep Discounts in Camera, Photo & Video",TRUE_LEAF,6,6,0,100.0
Truck & RV Electronics Store,TRUE_LEAF,6,6,0,100.0
Internal Modems,TRUE_LEAF,6,6,0,100.0
Bass Blockers,TRUE_LEAF,6,6,0,100.0
Samsung Tablet Accessories,TRUE_LEAF,6,6,0,100.0
4th of July Deals 2013-Electronics On the Go,TRUE_LEAF,6,6,0,100.0
Parts & Accessories,TRUE_LEAF,6,6,0,100.0
CD Recorders,TRUE_LEAF,6,6,0,100.0
HD DVD Players,TRUE_LEAF,5,5,0,100.0
Wearable Technology: Fitness & Wellness,TRUE_LEAF,5,5,0,100.0
Sports GPS,TRUE_LEAF,5,5,0,100.0
Caddies,TRUE_LEAF,5,5,0,100.0
Video Game Consoles & Accessories,TRUE_LEAF,5,5,0,100.0
Device Servers,TRUE_LEAF,5,5,0,100.0
Biking,TRUE_LEAF,5,5,0,100.0
Changers,TRUE_LEAF,5,5,0,100.0
Video Games,TRUE_LEAF,5,5,0,100.0
Tablet PCs,TRUE_LEAF,5,5,0,100.0
Kick-Panel Enclosures,TRUE_LEAF,5,5,0,100.0
Medium & Large-Format Cameras,TRUE_LEAF,5,5,0,100.0
New in Electronics,TRUE_LEAF,5,5,0,100.0
SteelSeries,TRUE_LEAF,5,5,0,100.0
Gifts for Dads & Grads in Electronics,TRUE_LEAF,5,5,0,100.0
Liquid Cleaners,TRUE_LEAF,5,5,0,100.0
Bases & Stands,TRUE_LEAF,5,5,0,100.0
Safelights,TRUE_LEAF,4,4,0,100.0
Corsair,TRUE_LEAF,4,4,0,100.0
Carpet,TRUE_LEAF,4,4,0,100.0
Marine Autopilots,TRUE_LEAF,4,4,0,100.0
Summer is Coming in Tech Accessories,TRUE_LEAF,4,4,0,100.0
Computers and Accessories Quantity Pricing,TRUE_LEAF,4,4,0,100.0
OnePlus,TRUE_LEAF,4,4,0,100.0
Star Wars Day Tech Gadgets,TRUE_LEAF,4,4,0,100.0
Center Columns,TRUE_LEAF,4,4,0,100.0
Home Entertainment,TRUE_LEAF,4,4,0,100.0
Touchscreen Laptops,TRUE_LEAF,4,4,0,100.0
VHS-C,TRUE_LEAF,4,4,0,100.0
iPad mini,TRUE_LEAF,4,4,0,100.0
Camera Cine Dollies,TRUE_LEAF,4,4,0,100.0
Samsung Note 10.1,TRUE_LEAF,4,4,0,100.0
Aviation Handheld Radios,TRUE_LEAF,4,4,0,100.0
DVD-RAM,TRUE_LEAF,4,4,0,100.0
FireWire,TRUE_LEAF,4,4,0,100.0
Data Cables & Chargers,INTERMEDIATE,2,4,1,50.0
Sound Storm Dynamic Coop,TRUE_LEAF,3,3,0,100.0
In-Visor Video,TRUE_LEAF,3,3,0,100.0
Tablet & Computer Accessories,TRUE_LEAF,3,3,0,100.0
Optoma Projectors,TRUE_LEAF,3,3,0,100.0
16-20 Inches,TRUE_LEAF,3,3,0,100.0
Echo Smart Speaker & Display Bundles,TRUE_LEAF,3,3,0,100.0
Premium TV & Audio,TRUE_LEAF,3,3,0,100.0
Buy Samsung at as low as 0% APR,TRUE_LEAF,3,3,0,100.0
Zip Media,TRUE_LEAF,3,3,0,100.0
V4 Customers Keep It - 70%,TRUE_LEAF,3,3,0,100.0
Featured Windows 8 PCs,TRUE_LEAF,3,3,0,100.0
June Audio Month Featured Deals,TRUE_LEAF,3,3,0,100.0
Travel Essentials,TRUE_LEAF,3,3,0,100.0
SCSI Cables,TRUE_LEAF,3,3,0,100.0
Logitech,TRUE_LEAF,3,3,0,100.0
Gear for the Urban Commuter,TRUE_LEAF,3,3,0,100.0
Traditional Audio,TRUE_LEAF,3,3,0,100.0
Specialty Film Cameras,TRUE_LEAF,3,3,0,100.0
Game Hardware,TRUE_LEAF,3,3,0,100.0
"Wearable Technology: Family, Kids & Pets",TRUE_LEAF,3,3,0,100.0
SCSI Adapters,TRUE_LEAF,3,3,0,100.0
Kids Character Cameras,TRUE_LEAF,3,3,0,100.0
"New Year, New Tech Gear Electronics On the Go",TRUE_LEAF,3,3,0,100.0
Presentation Supplies,INTERMEDIATE,2,3,1,66.66666666666667
Toshiba,INTERMEDIATE,1,3,2,33.333333333333336
PC Components,TRUE_LEAF,2,2,0,100.0
Virtual Reality,TRUE_LEAF,2,2,0,100.0
Car Electronics for College,TRUE_LEAF,2,2,0,100.0
Electronics Holiday Shopping,TRUE_LEAF,2,2,0,100.0
Smart Plugs,TRUE_LEAF,2,2,0,100.0
Archival Storage Binders,TRUE_LEAF,2,2,0,100.0
Subwoofer Kits,TRUE_LEAF,2,2,0,100.0
Featured iPad Accessories,TRUE_LEAF,2,2,0,100.0
Summer Road Trip-Electronics On the Go,TRUE_LEAF,2,2,0,100.0
Power-Distribution Components,TRUE_LEAF,2,2,0,100.0
Pro Series Ultrabooks,TRUE_LEAF,2,2,0,100.0
Amazon Unlimited Storage + Laptop Promotion,TRUE_LEAF,2,2,0,100.0
Midland Dynamic Coop,TRUE_LEAF,2,2,0,100.0
Tablet Stands,TRUE_LEAF,2,2,0,100.0
HP Monochrome LaserJets,TRUE_LEAF,2,2,0,100.0
12-Month Financing on Computers,TRUE_LEAF,2,2,0,100.0
Network Media Players & Storage,TRUE_LEAF,2,2,0,100.0
Adapters & Connectors,TRUE_LEAF,2,2,0,100.0
Dell Monitor Promotion,TRUE_LEAF,2,2,0,100.0
Rangefinder Cameras,TRUE_LEAF,2,2,0,100.0
Spring Cleaning in Electronics Accessories,TRUE_LEAF,2,2,0,100.0
New iPod Accessories,TRUE_LEAF,2,2,0,100.0
Power-Over-Ethernet,TRUE_LEAF,2,2,0,100.0
Systems,TRUE_LEAF,2,2,0,100.0
2014 Samsung Holiday TV Deals,TRUE_LEAF,2,2,0,100.0
Bounceback,TRUE_LEAF,2,2,0,100.0
Back to School-Electronics On the Go,TRUE_LEAF,2,2,0,100.0
Duo Series 2-in-1s Ultrabooks,TRUE_LEAF,2,2,0,100.0
USB 3.0/2.0,TRUE_LEAF,2,2,0,100.0
Apple,TRUE_LEAF,2,2,0,100.0
HP Single-Function Inkjet Printers,TRUE_LEAF,2,2,0,100.0
Doorbells & Chimes,TRUE_LEAF,2,2,0,100.0
"Big Markdowns in TV, Video & Audio",TRUE_LEAF,2,2,0,100.0
Wearable Technology: Smart Tracking,TRUE_LEAF,2,2,0,100.0
Innovative Gadget Gifts for Techies,TRUE_LEAF,2,2,0,100.0
HP Scanners,TRUE_LEAF,2,2,0,100.0
ASUS Transformer Tablet Accessories,TRUE_LEAF,2,2,0,100.0
Free Photo Book,TRUE_LEAF,2,2,0,100.0
Cases with Band,TRUE_LEAF,2,2,0,100.0
Metra Dynamic Coop,TRUE_LEAF,2,2,0,100.0
Bestselling Renewed Home Entertainment,TRUE_LEAF,2,2,0,100.0
RV GPS,TRUE_LEAF,2,2,0,100.0
Strobes & Flashes,TRUE_LEAF,2,2,0,100.0
Sandisk Dynamic Coop,TRUE_LEAF,2,2,0,100.0
Pioneer Elite,TRUE_LEAF,1,1,0,100.0
Devices with Enhanced Amazon Instant Video Viewing Experience,TRUE_LEAF,1,1,0,100.0
